"[-0.26000000000000001, 0.052000000000000046, 10089]","[-0.26000000000000001, 0.060000000000000053, 10107]","[-0.26000000000000001, 0.060000000000000053, 10124]","[-0.26000000000000001, 0.060000000000000053, 10140]","[-0.26000000000000001, 0.060000000000000053, 10156]","[-0.26000000000000001, 0.060000000000000053, 10174]","[-0.25600000000000001, 0.060000000000000053, 10190]","[-0.252, 0.060000000000000053, 10207]","[-0.252, 0.060000000000000053, 10223]","[-0.252, 0.060000000000000053, 10241]","[-0.248, 0.060000000000000053, 10256]","[-0.248, 0.060000000000000053, 10274]","[-0.248, 0.060000000000000053, 10290]","[-0.248, 0.060000000000000053, 10307]","[-0.248, 0.060000000000000053, 10323]","[-0.248, 0.060000000000000053, 10340]","[-0.248, 0.060000000000000053, 10357]","[-0.248, 0.060000000000000053, 10373]","[-0.248, 0.060000000000000053, 10390]","[-0.248, 0.060000000000000053, 10406]","[-0.248, 0.060000000000000053, 10424]","[-0.248, 0.060000000000000053, 10440]","[-0.248, 0.060000000000000053, 10457]","[-0.252, 0.05600000000000005, 10474]","[-0.25600000000000001, 0.05600000000000005, 10491]","[-0.26000000000000001, 0.05600000000000005, 10507]","[-0.27600000000000002, 0.052000000000000046, 10523]","[-0.28799999999999998, 0.048000000000000043, 10540]","[-0.29999999999999999, 0.048000000000000043, 10557]","[-0.308, 0.048000000000000043, 10574]","[-0.312, 0.048000000000000043, 10590]","[-0.32400000000000001, 0.052000000000000046, 10607]","[-0.32800000000000001, 0.05600000000000005, 10623]","[-0.33200000000000002, 0.05600000000000005, 10641]","[-0.33200000000000002, 0.060000000000000053, 10657]","[-0.33600000000000002, 0.060000000000000053, 10674]","[-0.34000000000000002, 0.063999999999999946, 10690]","[-0.34000000000000002, 0.067999999999999949, 10707]","[-0.34399999999999997, 0.071999999999999953, 10724]","[-0.34399999999999997, 0.07999999999999996, 10740]","[-0.34399999999999997, 0.087999999999999967, 10757]","[-0.34399999999999997, 0.091999999999999971, 10774]","[-0.34399999999999997, 0.095999999999999974, 10790]","[-0.34399999999999997, 0.095999999999999974, 10807]","[-0.34399999999999997, 0.095999999999999974, 10823]","[-0.33600000000000002, 0.099999999999999978, 10840]","[-0.32400000000000001, 0.10399999999999998, 10858]","[-0.29599999999999999, 0.11599999999999999, 10874]","[-0.28799999999999998, 0.11599999999999999, 10890]","[-0.28799999999999998, 0.11599999999999999, 10907]","[-0.28799999999999998, 0.11599999999999999, 10923]","[-0.28799999999999998, 0.11599999999999999, 10940]","[-0.28000000000000003, 0.11599999999999999, 10957]","[-0.27600000000000002, 0.11599999999999999, 10974]","[-0.26800000000000002, 0.11599999999999999, 10990]","[-0.26400000000000001, 0.11599999999999999, 11008]","[-0.252, 0.11199999999999999, 11023]","[-0.24399999999999999, 0.11199999999999999, 11040]","[-0.23999999999999999, 0.10799999999999998, 11057]","[-0.23999999999999999, 0.10799999999999998, 11074]","[-0.23999999999999999, 0.10399999999999998, 11091]","[-0.23599999999999999, 0.095999999999999974, 11107]","[-0.22800000000000001, 0.087999999999999967, 11124]","[-0.22, 0.083999999999999964, 11140]","[-0.21199999999999999, 0.07999999999999996, 11157]","[-0.20399999999999999, 0.071999999999999953, 11174]","[-0.20399999999999999, 0.067999999999999949, 11191]","[-0.20000000000000001, 0.063999999999999946, 11207]","[-0.20000000000000001, 0.05600000000000005, 11224]","[-0.19600000000000001, 0.048000000000000043, 11240]","[-0.192, 0.040000000000000036, 11257]","[-0.188, 0.032000000000000028, 11274]","[-0.188, 0.028000000000000025, 11290]","[-0.188, 0.024000000000000021, 11308]","[-0.188, 0.020000000000000018, 11324]","[-0.188, 0.012000000000000011, 11341]","[-0.188, 0.0080000000000000071, 11357]","[-0.188, -0.0040000000000000036, 11374]","[-0.188, -0.0080000000000000071, 11390]","[-0.188, -0.012000000000000011, 11408]","[-0.192, -0.036000000000000032, 11441]","[-0.19600000000000001, -0.05600000000000005, 11458]","[-0.20000000000000001, -0.072000000000000064, 11473]","[-0.20000000000000001, -0.080000000000000071, 11491]","[-0.20000000000000001, -0.084000000000000075, 11507]","[-0.20000000000000001, -0.084000000000000075, 11523]","[-0.20000000000000001, -0.088000000000000078, 11559]","[-0.188, -0.10400000000000009, 11574]","[-0.17599999999999999, -0.1080000000000001, 11590]","[-0.16, -0.1120000000000001, 11608]","[-0.14399999999999999, -0.12000000000000011, 11641]","[-0.108, -0.12400000000000011, 11657]","[-0.096000000000000002, -0.12400000000000011, 11674]","[-0.084000000000000005, -0.12400000000000011, 11691]","[-0.080000000000000002, -0.12400000000000011, 11707]","[-0.080000000000000002, -0.12400000000000011, 11724]","[-0.080000000000000002, -0.12400000000000011, 11741]","[-0.075999999999999998, -0.12400000000000011, 11758]","[-0.068000000000000005, -0.12000000000000011, 11774]","[-0.064000000000000001, -0.12000000000000011, 11791]","[-0.056000000000000001, -0.1160000000000001, 11808]","[-0.056000000000000001, -0.1120000000000001, 11824]","[-0.048000000000000001, -0.10400000000000009, 11841]","[-0.035999999999999997, -0.088000000000000078, 11858]","[-0.028000000000000001, -0.072000000000000064, 11874]","[-0.024, -0.060000000000000053, 11891]","[-0.024, -0.052000000000000046, 11907]","[-0.024, -0.044000000000000039, 11925]","[-0.024, -0.028000000000000025, 11942]","[-0.024, -0.016000000000000014, 11958]","[-0.024, -0.0040000000000000036, 11975]","[-0.028000000000000001, 0.0040000000000000036, 11991]","[-0.035999999999999997, 0.0080000000000000071, 12008]","[-0.035999999999999997, 0.016000000000000014, 12025]","[-0.040000000000000001, 0.028000000000000025, 12042]","[-0.043999999999999997, 0.036000000000000032, 12059]","[-0.043999999999999997, 0.040000000000000036, 12075]","[-0.048000000000000001, 0.048000000000000043, 12092]","[-0.048000000000000001, 0.05600000000000005, 12108]","[-0.048000000000000001, 0.067999999999999949, 12124]","[-0.048000000000000001, 0.071999999999999953, 12141]","[-0.048000000000000001, 0.075999999999999956, 12158]","[-0.051999999999999998, 0.07999999999999996, 12175]","[-0.056000000000000001, 0.087999999999999967, 12192]","[-0.056000000000000001, 0.095999999999999974, 12208]","[-0.056000000000000001, 0.10399999999999998, 12224]","[-0.056000000000000001, 0.10799999999999998, 12241]","[-0.059999999999999998, 0.11199999999999999, 12258]","[-0.059999999999999998, 0.11599999999999999, 12274]","[-0.064000000000000001, 0.12, 12291]","[-0.064000000000000001, 0.128, 12308]","[-0.068000000000000005, 0.13200000000000001, 12325]","[-0.068000000000000005, 0.13600000000000001, 12341]","[-0.068000000000000005, 0.13600000000000001, 12358]","[-0.068000000000000005, 0.14000000000000001, 12375]","[-0.071999999999999995, 0.14400000000000002, 12392]","[-0.071999999999999995, 0.14400000000000002, 12408]","[-0.071999999999999995, 0.14800000000000002, 12424]","[-0.075999999999999998, 0.14800000000000002, 12441]","[-0.075999999999999998, 0.14800000000000002, 12458]","[-0.075999999999999998, 0.14800000000000002, 12475]","[-0.075999999999999998, 0.14800000000000002, 12491]","[-0.075999999999999998, 0.14800000000000002, 12508]","[-0.075999999999999998, 0.14800000000000002, 12524]","[-0.075999999999999998, 0.14800000000000002, 12542]","[-0.075999999999999998, 0.14800000000000002, 12558]","[-0.075999999999999998, 0.14800000000000002, 12575]","[-0.075999999999999998, 0.14800000000000002, 12592]","[-0.075999999999999998, 0.14800000000000002, 12609]","[-0.075999999999999998, 0.14800000000000002, 12625]","[-0.075999999999999998, 0.14800000000000002, 12641]","[-0.075999999999999998, 0.14800000000000002, 12658]","[-0.075999999999999998, 0.14800000000000002, 12675]","[-0.075999999999999998, 0.14800000000000002, 12692]","[-0.075999999999999998, 0.14800000000000002, 12709]","[-0.075999999999999998, 0.14800000000000002, 12725]","[-0.075999999999999998, 0.14800000000000002, 12741]","[-0.075999999999999998, 0.14800000000000002, 12759]","[-0.075999999999999998, 0.14800000000000002, 12775]","[-0.075999999999999998, 0.14800000000000002, 12792]","[-0.075999999999999998, 0.14800000000000002, 12808]","[-0.075999999999999998, 0.14800000000000002, 12858]","[-0.075999999999999998, 0.14800000000000002, 12876]","[-0.075999999999999998, 0.14800000000000002, 12891]","[-0.075999999999999998, 0.14800000000000002, 12909]","[-0.075999999999999998, 0.14800000000000002, 12925]","[-0.075999999999999998, 0.14800000000000002, 12941]","[-0.075999999999999998, 0.14800000000000002, 12958]","[-0.075999999999999998, 0.14800000000000002, 12976]","[-0.075999999999999998, 0.14800000000000002, 12992]","[-0.075999999999999998, 0.14800000000000002, 13009]","[-0.075999999999999998, 0.14800000000000002, 13025]","[-0.075999999999999998, 0.14800000000000002, 13042]","[-0.075999999999999998, 0.14800000000000002, 13059]","[-0.075999999999999998, 0.14800000000000002, 13075]","[-0.075999999999999998, 0.14800000000000002, 13092]","[-0.075999999999999998, 0.14800000000000002, 13109]","[-0.075999999999999998, 0.14800000000000002, 13126]","[-0.075999999999999998, 0.14800000000000002, 13141]","[-0.075999999999999998, 0.14800000000000002, 13159]","[-0.075999999999999998, 0.14800000000000002, 13175]","[-0.075999999999999998, 0.14800000000000002, 13192]","[-0.075999999999999998, 0.14800000000000002, 13209]","[-0.075999999999999998, 0.14800000000000002, 13225]","[-0.075999999999999998, 0.14800000000000002, 13242]","[-0.075999999999999998, 0.14800000000000002, 13258]","[-0.075999999999999998, 0.14800000000000002, 13276]","[-0.075999999999999998, 0.14800000000000002, 13293]","[-0.075999999999999998, 0.13600000000000001, 13308]"
"[0.0, -0.064000000000000057, 14877]","[-0.0080000000000000002, -0.072000000000000064, 14927]","[-0.0080000000000000002, -0.072000000000000064, 14943]","[-0.0080000000000000002, -0.072000000000000064, 14960]","[-0.0080000000000000002, -0.072000000000000064, 14976]","[-0.0080000000000000002, -0.072000000000000064, 14993]","[-0.0080000000000000002, -0.072000000000000064, 15010]","[-0.0080000000000000002, -0.072000000000000064, 15027]","[-0.0080000000000000002, -0.072000000000000064, 15043]","[-0.0080000000000000002, -0.072000000000000064, 15060]","[-0.0080000000000000002, -0.072000000000000064, 15076]","[-0.0080000000000000002, -0.072000000000000064, 15093]","[-0.0080000000000000002, -0.072000000000000064, 15110]","[-0.0080000000000000002, -0.072000000000000064, 15126]","[-0.0080000000000000002, -0.072000000000000064, 15143]","[-0.0080000000000000002, -0.072000000000000064, 15160]","[-0.0080000000000000002, -0.072000000000000064, 15177]","[-0.0080000000000000002, -0.072000000000000064, 15193]","[-0.0080000000000000002, -0.072000000000000064, 15210]","[-0.0080000000000000002, -0.072000000000000064, 15226]","[-0.0080000000000000002, -0.072000000000000064, 15244]","[-0.0080000000000000002, -0.072000000000000064, 15260]","[-0.0080000000000000002, -0.072000000000000064, 15277]","[-0.0080000000000000002, -0.072000000000000064, 15293]","[-0.0080000000000000002, -0.072000000000000064, 15309]","[-0.0080000000000000002, -0.072000000000000064, 15327]","[-0.0080000000000000002, -0.072000000000000064, 15343]","[-0.0080000000000000002, -0.072000000000000064, 15360]","[-0.028000000000000001, -0.064000000000000057, 15376]","[-0.028000000000000001, -0.064000000000000057, 15394]","[-0.028000000000000001, -0.064000000000000057, 15410]","[-0.028000000000000001, -0.064000000000000057, 15427]","[-0.028000000000000001, -0.064000000000000057, 15443]","[-0.028000000000000001, -0.064000000000000057, 15461]","[-0.028000000000000001, -0.06800000000000006, 15477]","[-0.028000000000000001, -0.06800000000000006, 15494]","[-0.02, -0.072000000000000064, 15510]","[-0.012, -0.080000000000000071, 15526]","[-0.0080000000000000002, -0.084000000000000075, 15544]","[0.0, -0.092000000000000082, 15561]","[0.0080000000000000002, -0.096000000000000085, 15577]","[0.016, -0.10000000000000009, 15593]","[0.024, -0.10000000000000009, 15611]","[0.032000000000000001, -0.10400000000000009, 15627]","[0.048000000000000001, -0.1080000000000001, 15643]","[0.064000000000000001, -0.1080000000000001, 15660]","[0.071999999999999995, -0.1080000000000001, 15677]","[0.080000000000000002, -0.1120000000000001, 15694]","[0.084000000000000005, -0.1120000000000001, 15711]","[0.091999999999999998, -0.1120000000000001, 15727]","[0.104, -0.1160000000000001, 15744]","[0.11600000000000001, -0.1160000000000001, 15761]","[0.128, -0.1160000000000001, 15777]","[0.13600000000000001, -0.1160000000000001, 15794]","[0.14399999999999999, -0.1160000000000001, 15810]","[0.156, -0.10400000000000009, 15827]","[0.17599999999999999, -0.092000000000000082, 15844]","[0.17999999999999999, -0.088000000000000078, 15861]","[0.184, -0.084000000000000075, 15877]","[0.192, -0.06800000000000006, 15893]","[0.20000000000000001, -0.044000000000000039, 15911]","[0.20799999999999999, -0.024000000000000021, 15928]","[0.21199999999999999, -0.012000000000000011, 15944]","[0.21199999999999999, -0.0040000000000000036, 15960]","[0.21199999999999999, 0.0080000000000000071, 15977]","[0.21199999999999999, 0.032000000000000028, 15994]","[0.21199999999999999, 0.044000000000000039, 16011]","[0.21199999999999999, 0.05600000000000005, 16027]","[0.20399999999999999, 0.063999999999999946, 16044]","[0.20000000000000001, 0.087999999999999967, 16061]","[0.20000000000000001, 0.099999999999999978, 16077]","[0.19600000000000001, 0.11199999999999999, 16094]","[0.192, 0.11599999999999999, 16110]","[0.188, 0.12, 16127]","[0.184, 0.128, 16144]","[0.17599999999999999, 0.13200000000000001, 16160]","[0.17199999999999999, 0.13600000000000001, 16177]","[0.16400000000000001, 0.14400000000000002, 16194]","[0.152, 0.14800000000000002, 16211]","[0.14799999999999999, 0.14800000000000002, 16227]","[0.14000000000000001, 0.16000000000000003, 16277]","[0.13600000000000001, 0.16400000000000003, 16294]","[0.13200000000000001, 0.16800000000000004, 16321]","[0.124, 0.17200000000000004, 16345]","[0.12, 0.18000000000000005, 16361]","[0.11600000000000001, 0.18000000000000005, 16378]","[0.112, 0.18000000000000005, 16394]","[0.112, 0.18400000000000005, 16411]","[0.112, 0.18400000000000005, 16428]","[0.112, 0.18400000000000005, 16445]","[0.112, 0.18400000000000005, 16461]","[0.108, 0.18799999999999994, 16477]","[0.104, 0.19199999999999995, 16494]","[0.104, 0.19599999999999995, 16511]","[0.104, 0.19599999999999995, 16528]","[0.10000000000000001, 0.19599999999999995, 16544]","[0.10000000000000001, 0.19599999999999995, 16561]","[0.10000000000000001, 0.19599999999999995, 16578]","[0.10000000000000001, 0.19599999999999995, 16594]","[0.10000000000000001, 0.19999999999999996, 16611]","[0.096000000000000002, 0.19999999999999996, 16627]","[0.096000000000000002, 0.19999999999999996, 16644]","[0.096000000000000002, 0.19999999999999996, 16661]","[0.096000000000000002, 0.19999999999999996, 16677]","[0.096000000000000002, 0.19999999999999996, 16694]","[0.091999999999999998, 0.19999999999999996, 16711]","[0.091999999999999998, 0.19999999999999996, 16728]","[0.091999999999999998, 0.19999999999999996, 16744]","[0.091999999999999998, 0.20399999999999996, 16761]","[0.091999999999999998, 0.20399999999999996, 16778]","[0.091999999999999998, 0.20799999999999996, 16794]"
"[-0.12, 0.16000000000000003, 17962]","[-0.11600000000000001, 0.16400000000000003, 18013]","[-0.11600000000000001, 0.16400000000000003, 18030]","[-0.112, 0.16400000000000003, 18045]","[-0.112, 0.16400000000000003, 18062]","[-0.112, 0.16400000000000003, 18079]","[-0.112, 0.16400000000000003, 18095]","[-0.112, 0.16400000000000003, 18112]","[-0.112, 0.16400000000000003, 18129]","[-0.112, 0.16400000000000003, 18146]","[-0.112, 0.16400000000000003, 18162]","[-0.112, 0.16400000000000003, 18178]","[-0.112, 0.16400000000000003, 18196]","[-0.112, 0.16400000000000003, 18212]","[-0.112, 0.16400000000000003, 18229]","[-0.112, 0.16000000000000003, 18246]","[-0.112, 0.16000000000000003, 18262]","[-0.108, 0.16000000000000003, 18279]","[-0.104, 0.15600000000000003, 18296]","[-0.10000000000000001, 0.15600000000000003, 18312]","[-0.096000000000000002, 0.15200000000000002, 18330]","[-0.087999999999999995, 0.14800000000000002, 18346]","[-0.071999999999999995, 0.14800000000000002, 18363]","[-0.059999999999999998, 0.14800000000000002, 18380]","[-0.048000000000000001, 0.14800000000000002, 18396]","[-0.043999999999999997, 0.14800000000000002, 18412]","[-0.040000000000000001, 0.15200000000000002, 18429]","[-0.035999999999999997, 0.15600000000000003, 18446]","[-0.032000000000000001, 0.16000000000000003, 18462]","[-0.028000000000000001, 0.16000000000000003, 18480]","[-0.028000000000000001, 0.16000000000000003, 18495]","[-0.024, 0.16400000000000003, 18513]","[-0.02, 0.17200000000000004, 18530]","[-0.0080000000000000002, 0.18400000000000005, 18546]","[-0.0040000000000000001, 0.18799999999999994, 18562]","[0.0, 0.19199999999999995, 18580]","[0.0, 0.19199999999999995, 18596]","[0.0, 0.19199999999999995, 18613]","[0.0, 0.19599999999999995, 18630]","[0.0040000000000000001, 0.19999999999999996, 18646]","[0.0040000000000000001, 0.20399999999999996, 18663]","[0.0040000000000000001, 0.20399999999999996, 18680]","[0.0, 0.20799999999999996, 18696]","[0.0, 0.20799999999999996, 18713]","[0.0, 0.21199999999999997, 18730]","[0.0, 0.21599999999999997, 18746]","[-0.0040000000000000001, 0.21999999999999997, 18763]","[-0.0080000000000000002, 0.22399999999999998, 18780]","[-0.0080000000000000002, 0.22799999999999998, 18797]","[-0.0080000000000000002, 0.23199999999999998, 18813]","[-0.0080000000000000002, 0.23599999999999999, 18830]","[-0.0080000000000000002, 0.23999999999999999, 18846]","[-0.012, 0.24399999999999999, 18862]","[-0.016, 0.24399999999999999, 18880]","[-0.02, 0.24399999999999999, 18896]","[-0.02, 0.248, 18914]","[-0.024, 0.248, 18929]","[-0.032000000000000001, 0.248, 18947]","[-0.035999999999999997, 0.252, 18963]","[-0.040000000000000001, 0.252, 18980]","[-0.040000000000000001, 0.252, 18996]","[-0.040000000000000001, 0.252, 19014]","[-0.040000000000000001, 0.252, 19030]","[-0.040000000000000001, 0.252, 19047]","[-0.043999999999999997, 0.252, 19063]","[-0.043999999999999997, 0.252, 19080]","[-0.043999999999999997, 0.252, 19097]","[-0.048000000000000001, 0.252, 19114]","[-0.051999999999999998, 0.252, 19130]","[-0.051999999999999998, 0.252, 19146]","[-0.051999999999999998, 0.252, 19164]","[-0.051999999999999998, 0.25600000000000001, 19181]","[-0.051999999999999998, 0.25600000000000001, 19196]","[-0.051999999999999998, 0.25600000000000001, 19213]","[-0.051999999999999998, 0.25600000000000001, 19230]","[-0.051999999999999998, 0.25600000000000001, 19247]","[-0.051999999999999998, 0.25600000000000001, 19263]","[-0.051999999999999998, 0.25600000000000001, 19280]","[-0.051999999999999998, 0.25600000000000001, 19296]","[-0.051999999999999998, 0.25600000000000001, 19314]"
"[-0.19600000000000001, -0.10400000000000009, 25986]","[-0.20000000000000001, -0.10400000000000009, 26052]","[-0.20000000000000001, -0.10400000000000009, 26069]","[-0.20000000000000001, -0.10400000000000009, 26085]","[-0.20000000000000001, -0.10400000000000009, 26102]","[-0.20000000000000001, -0.10400000000000009, 26118]","[-0.20000000000000001, -0.10400000000000009, 26135]","[-0.20000000000000001, -0.10400000000000009, 26152]","[-0.20000000000000001, -0.10400000000000009, 26168]","[-0.20000000000000001, -0.10400000000000009, 26185]","[-0.20000000000000001, -0.10400000000000009, 26201]","[-0.20000000000000001, -0.10400000000000009, 26219]","[-0.20000000000000001, -0.10400000000000009, 26235]","[-0.20000000000000001, -0.10400000000000009, 26253]","[-0.20000000000000001, -0.10400000000000009, 26268]","[-0.20000000000000001, -0.10400000000000009, 26285]","[-0.20000000000000001, -0.10400000000000009, 26312]","[-0.20000000000000001, -0.10400000000000009, 26336]","[-0.20000000000000001, -0.10400000000000009, 26353]","[-0.20000000000000001, -0.10400000000000009, 26368]","[-0.20000000000000001, -0.10400000000000009, 26385]","[-0.20000000000000001, -0.10400000000000009, 26402]","[-0.20000000000000001, -0.10400000000000009, 26418]","[-0.20000000000000001, -0.096000000000000085, 26435]","[-0.20000000000000001, -0.092000000000000082, 26452]","[-0.20000000000000001, -0.092000000000000082, 26469]","[-0.20000000000000001, -0.088000000000000078, 26485]","[-0.20000000000000001, -0.084000000000000075, 26503]","[-0.20399999999999999, -0.076000000000000068, 26519]","[-0.20399999999999999, -0.072000000000000064, 26535]","[-0.20399999999999999, -0.06800000000000006, 26552]","[-0.20399999999999999, -0.06800000000000006, 26568]","[-0.20399999999999999, -0.06800000000000006, 26585]","[-0.20399999999999999, -0.064000000000000057, 26602]","[-0.20799999999999999, -0.064000000000000057, 26619]","[-0.20799999999999999, -0.060000000000000053, 26635]","[-0.21199999999999999, -0.060000000000000053, 26652]","[-0.21199999999999999, -0.060000000000000053, 26669]","[-0.21199999999999999, -0.05600000000000005, 26686]","[-0.21199999999999999, -0.05600000000000005, 26703]","[-0.216, -0.05600000000000005, 26719]","[-0.224, -0.05600000000000005, 26736]","[-0.224, -0.05600000000000005, 26752]","[-0.22800000000000001, -0.05600000000000005, 26769]","[-0.22800000000000001, -0.05600000000000005, 26785]","[-0.22800000000000001, -0.05600000000000005, 26803]","[-0.22800000000000001, -0.05600000000000005, 26819]","[-0.23200000000000001, -0.05600000000000005, 26836]","[-0.23599999999999999, -0.05600000000000005, 26853]","[-0.24399999999999999, -0.060000000000000053, 26869]","[-0.24399999999999999, -0.060000000000000053, 26885]","[-0.24399999999999999, -0.060000000000000053, 26903]","[-0.24399999999999999, -0.060000000000000053, 26919]","[-0.24399999999999999, -0.060000000000000053, 26936]","[-0.24399999999999999, -0.064000000000000057, 26952]","[-0.248, -0.06800000000000006, 26969]","[-0.252, -0.072000000000000064, 26986]","[-0.26400000000000001, -0.088000000000000078, 27003]","[-0.26800000000000002, -0.096000000000000085, 27020]","[-0.27200000000000002, -0.10000000000000009, 27036]","[-0.27200000000000002, -0.10000000000000009, 27053]","[-0.27200000000000002, -0.10000000000000009, 27069]","[-0.27200000000000002, -0.10400000000000009, 27086]","[-0.27600000000000002, -0.1120000000000001, 27103]","[-0.27600000000000002, -0.12000000000000011, 27119]","[-0.27600000000000002, -0.12400000000000011, 27136]","[-0.27600000000000002, -0.12799999999999989, 27152]","[-0.27600000000000002, -0.12799999999999989, 27170]","[-0.27600000000000002, -0.1359999999999999, 27185]","[-0.27600000000000002, -0.1399999999999999, 27202]","[-0.27200000000000002, -0.15199999999999991, 27219]","[-0.26800000000000002, -0.15199999999999991, 27236]","[-0.26400000000000001, -0.15599999999999992, 27252]","[-0.26000000000000001, -0.15999999999999992, 27269]","[-0.26000000000000001, -0.15999999999999992, 27286]","[-0.25600000000000001, -0.16399999999999992, 27303]","[-0.248, -0.16799999999999993, 27320]","[-0.24399999999999999, -0.16799999999999993, 27336]","[-0.23999999999999999, -0.16799999999999993, 27355]","[-0.23999999999999999, -0.17199999999999993, 27386]","[-0.20799999999999999, -0.16799999999999993, 27470]","[-0.20000000000000001, -0.15999999999999992, 27485]","[-0.19600000000000001, -0.15199999999999991, 27503]","[-0.192, -0.14399999999999991, 27519]","[-0.192, -0.1359999999999999, 27536]","[-0.192, -0.12799999999999989, 27553]","[-0.184, -0.1160000000000001, 27568]","[-0.184, -0.1120000000000001, 27586]","[-0.184, -0.1120000000000001, 27603]","[-0.184, -0.1080000000000001, 27619]","[-0.184, -0.1080000000000001, 27637]","[-0.184, -0.1080000000000001, 27652]","[-0.184, -0.10000000000000009, 27669]","[-0.184, -0.096000000000000085, 27687]","[-0.184, -0.092000000000000082, 27703]","[-0.188, -0.080000000000000071, 27719]","[-0.188, -0.072000000000000064, 27736]","[-0.192, -0.072000000000000064, 27753]","[-0.192, -0.072000000000000064, 27770]","[-0.192, -0.06800000000000006, 27787]","[-0.192, -0.06800000000000006, 27804]","[-0.19600000000000001, -0.064000000000000057, 27819]","[-0.20399999999999999, -0.064000000000000057, 27836]","[-0.20399999999999999, -0.064000000000000057, 27853]","[-0.20399999999999999, -0.060000000000000053, 27870]","[-0.20399999999999999, -0.060000000000000053, 27886]","[-0.20399999999999999, -0.060000000000000053, 27903]","[-0.20399999999999999, -0.060000000000000053, 27919]","[-0.20399999999999999, -0.060000000000000053, 27937]","[-0.20399999999999999, -0.060000000000000053, 27953]","[-0.20399999999999999, -0.060000000000000053, 27969]"
