"[0.22, -0.45599999999999996, 20157]","[0.22, -0.45599999999999996, 20174]","[0.22, -0.45599999999999996, 20191]","[0.22, -0.45599999999999996, 20208]","[0.22, -0.45599999999999996, 20224]","[0.22, -0.45599999999999996, 20241]","[0.22, -0.44799999999999995, 20257]","[0.22, -0.44399999999999995, 20274]","[0.224, -0.44399999999999995, 20291]","[0.224, -0.43999999999999995, 20308]","[0.224, -0.43599999999999994, 20324]","[0.224, -0.43599999999999994, 20341]"
"[0.20799999999999999, -0.45999999999999996, 21208]","[0.21199999999999999, -0.44799999999999995, 21241]","[0.21199999999999999, -0.43999999999999995, 21258]","[0.216, -0.43599999999999994, 21274]","[0.216, -0.43199999999999994, 21291]","[0.22, -0.42399999999999993, 21308]","[0.22, -0.42399999999999993, 21324]","[0.22, -0.42399999999999993, 21342]","[0.22, -0.42399999999999993, 21358]","[0.22, -0.42399999999999993, 21375]","[0.22, -0.42399999999999993, 21391]","[0.22, -0.42399999999999993, 21408]","[0.22, -0.42399999999999993, 21425]","[0.22, -0.42399999999999993, 21441]","[0.22, -0.42399999999999993, 21459]","[0.22, -0.42399999999999993, 21475]","[0.22, -0.42399999999999993, 21491]","[0.22, -0.42399999999999993, 21508]","[0.22, -0.42399999999999993, 21524]","[0.22, -0.42399999999999993, 21541]","[0.22, -0.42399999999999993, 21558]","[0.22, -0.42399999999999993, 21574]","[0.22, -0.42399999999999993, 21591]","[0.22, -0.42399999999999993, 21608]","[0.22, -0.42399999999999993, 21625]","[0.22, -0.42399999999999993, 21641]","[0.22, -0.42399999999999993, 21658]","[0.22, -0.42399999999999993, 21674]","[0.22, -0.42399999999999993, 21692]","[0.22, -0.42399999999999993, 21708]","[0.22, -0.42399999999999993, 21724]","[0.22, -0.42399999999999993, 21742]","[0.22, -0.42399999999999993, 21758]","[0.22, -0.42399999999999993, 21775]","[0.22, -0.41599999999999993, 21791]","[0.22, -0.41199999999999992, 21809]","[0.22, -0.40399999999999991, 21824]","[0.22, -0.39599999999999991, 21842]","[0.22, -0.3879999999999999, 21859]","[0.216, -0.37999999999999989, 21892]","[0.216, -0.35200000000000009, 21925]","[0.216, -0.32800000000000007, 21958]","[0.21199999999999999, -0.29200000000000004, 21992]","[0.21199999999999999, -0.26800000000000002, 22025]","[0.20799999999999999, -0.24399999999999999, 22058]","[0.20799999999999999, -0.22399999999999998, 22091]","[0.20399999999999999, -0.20799999999999996, 22125]","[0.20000000000000001, -0.18399999999999994, 22158]","[0.20000000000000001, -0.16799999999999993, 22192]","[0.19600000000000001, -0.15599999999999992, 22225]","[0.192, -0.1399999999999999, 22259]","[0.188, -0.12000000000000011, 22292]","[0.17999999999999999, -0.1120000000000001, 22326]","[0.17599999999999999, -0.10000000000000009, 22358]","[0.16800000000000001, -0.092000000000000082, 22392]","[0.16, -0.084000000000000075, 22409]","[0.156, -0.076000000000000068, 22426]","[0.152, -0.06800000000000006, 22458]","[0.14000000000000001, -0.05600000000000005, 22492]","[0.13200000000000001, -0.048000000000000043, 22525]","[0.12, -0.040000000000000036, 22558]","[0.104, -0.036000000000000032, 22592]","[0.087999999999999995, -0.028000000000000025, 22625]","[0.068000000000000005, -0.020000000000000018, 22658]","[0.051999999999999998, -0.016000000000000014, 22692]","[0.040000000000000001, -0.016000000000000014, 22724]","[0.032000000000000001, -0.012000000000000011, 22758]","[0.02, -0.012000000000000011, 22792]","[0.012, -0.012000000000000011, 22825]","[0.0, -0.0080000000000000071, 22858]","[-0.0040000000000000001, -0.0080000000000000071, 22891]","[-0.012, -0.0080000000000000071, 22925]","[-0.024, -0.0080000000000000071, 22959]","[-0.035999999999999997, -0.016000000000000014, 22992]","[-0.048000000000000001, -0.024000000000000021, 23026]","[-0.056000000000000001, -0.032000000000000028, 23059]","[-0.059999999999999998, -0.036000000000000032, 23092]","[-0.068000000000000005, -0.040000000000000036, 23125]","[-0.075999999999999998, -0.048000000000000043, 23158]","[-0.087999999999999995, -0.05600000000000005, 23193]","[-0.096000000000000002, -0.072000000000000064, 23242]","[-0.104, -0.092000000000000082, 23275]","[-0.108, -0.1120000000000001, 23309]","[-0.112, -0.12799999999999989, 23343]","[-0.112, -0.14399999999999991, 23375]","[-0.11600000000000001, -0.16399999999999992, 23409]","[-0.11600000000000001, -0.18799999999999994, 23442]","[-0.11600000000000001, -0.21599999999999997, 23476]","[-0.12, -0.23999999999999999, 23509]","[-0.12, -0.26000000000000001, 23542]","[-0.12, -0.28400000000000003, 23576]","[-0.12, -0.30000000000000004, 23609]","[-0.11600000000000001, -0.31600000000000006, 23643]","[-0.112, -0.33600000000000008, 23676]","[-0.104, -0.34800000000000009, 23709]","[-0.10000000000000001, -0.3680000000000001, 23742]","[-0.091999999999999998, -0.37999999999999989, 23776]","[-0.087999999999999995, -0.3919999999999999, 23809]","[-0.087999999999999995, -0.40399999999999991, 23842]","[-0.084000000000000005, -0.41599999999999993, 23876]","[-0.084000000000000005, -0.42799999999999994, 23909]","[-0.084000000000000005, -0.43599999999999994, 23943]","[-0.084000000000000005, -0.44399999999999995, 23976]","[-0.084000000000000005, -0.45199999999999996, 24010]","[-0.087999999999999995, -0.46399999999999997, 24043]","[-0.091999999999999998, -0.46799999999999997, 24076]","[-0.10000000000000001, -0.46799999999999997, 24109]","[-0.108, -0.47199999999999998, 24143]","[-0.12, -0.47199999999999998, 24176]","[-0.124, -0.47199999999999998, 24210]","[-0.13200000000000001, -0.47199999999999998, 24243]","[-0.13600000000000001, -0.47199999999999998, 24276]","[-0.14399999999999999, -0.47199999999999998, 24310]","[-0.14799999999999999, -0.47199999999999998, 24343]","[-0.152, -0.46799999999999997, 24377]","[-0.16, -0.46399999999999997, 24410]","[-0.16, -0.46399999999999997, 24443]","[-0.16400000000000001, -0.45999999999999996, 24476]","[-0.16400000000000001, -0.45999999999999996, 24510]","[-0.16400000000000001, -0.45599999999999996, 24544]","[-0.16400000000000001, -0.45599999999999996, 24576]","[-0.16400000000000001, -0.45599999999999996, 24610]"
"[-0.12, -0.26400000000000001, 25977]","[-0.12, -0.26400000000000001, 26027]","[-0.12, -0.26400000000000001, 26044]","[-0.12, -0.26400000000000001, 26060]","[-0.12, -0.26400000000000001, 26078]","[-0.12, -0.26400000000000001, 26094]","[-0.12, -0.26400000000000001, 26110]","[-0.12, -0.26400000000000001, 26127]","[-0.12, -0.26400000000000001, 26143]","[-0.12, -0.26400000000000001, 26161]","[-0.128, -0.26400000000000001, 26177]","[-0.128, -0.26400000000000001, 26194]","[-0.13600000000000001, -0.26400000000000001, 26211]","[-0.13600000000000001, -0.26800000000000002, 26227]","[-0.14000000000000001, -0.26800000000000002, 26244]","[-0.14399999999999999, -0.26800000000000002, 26261]","[-0.14799999999999999, -0.26800000000000002, 26277]","[-0.152, -0.26800000000000002, 26294]","[-0.156, -0.26800000000000002, 26310]","[-0.16, -0.26800000000000002, 26327]","[-0.16400000000000001, -0.26800000000000002, 26344]","[-0.17199999999999999, -0.26800000000000002, 26360]","[-0.17599999999999999, -0.26800000000000002, 26378]","[-0.17999999999999999, -0.26800000000000002, 26394]","[-0.184, -0.26800000000000002, 26411]","[-0.192, -0.26800000000000002, 26428]","[-0.19600000000000001, -0.26400000000000001, 26445]","[-0.19600000000000001, -0.26400000000000001, 26461]","[-0.20000000000000001, -0.26400000000000001, 26477]","[-0.20000000000000001, -0.26400000000000001, 26494]","[-0.20399999999999999, -0.26400000000000001, 26511]","[-0.20799999999999999, -0.26400000000000001, 26528]","[-0.21199999999999999, -0.26400000000000001, 26544]","[-0.22, -0.26400000000000001, 26561]","[-0.224, -0.26400000000000001, 26577]","[-0.22800000000000001, -0.26400000000000001, 26594]","[-0.23200000000000001, -0.26400000000000001, 26610]","[-0.23599999999999999, -0.26400000000000001, 26628]","[-0.23599999999999999, -0.26400000000000001, 26644]","[-0.23599999999999999, -0.26400000000000001, 26661]","[-0.23599999999999999, -0.26400000000000001, 26694]","[-0.24399999999999999, -0.26400000000000001, 26727]","[-0.248, -0.26400000000000001, 26761]","[-0.252, -0.26400000000000001, 26794]","[-0.252, -0.26400000000000001, 26828]","[-0.252, -0.26400000000000001, 26861]"
"[0.20399999999999999, -0.18799999999999994, 28962]","[0.20799999999999999, -0.18799999999999994, 29028]","[0.20799999999999999, -0.18799999999999994, 29044]","[0.20799999999999999, -0.18799999999999994, 29061]","[0.20799999999999999, -0.18799999999999994, 29079]","[0.20799999999999999, -0.18799999999999994, 29095]","[0.20799999999999999, -0.18799999999999994, 29112]","[0.20799999999999999, -0.18799999999999994, 29128]","[0.20799999999999999, -0.18799999999999994, 29146]","[0.20799999999999999, -0.18799999999999994, 29161]","[0.20799999999999999, -0.18799999999999994, 29179]","[0.20799999999999999, -0.18799999999999994, 29195]","[0.20799999999999999, -0.18799999999999994, 29212]","[0.20799999999999999, -0.18799999999999994, 29229]","[0.20799999999999999, -0.18799999999999994, 29245]","[0.20799999999999999, -0.18799999999999994, 29262]","[0.20799999999999999, -0.18799999999999994, 29278]","[0.20799999999999999, -0.18799999999999994, 29295]","[0.20799999999999999, -0.18799999999999994, 29311]","[0.20799999999999999, -0.18799999999999994, 29329]","[0.20799999999999999, -0.18799999999999994, 29345]","[0.20799999999999999, -0.18799999999999994, 29362]","[0.20799999999999999, -0.18799999999999994, 29378]","[0.20799999999999999, -0.18799999999999994, 29395]","[0.20799999999999999, -0.18799999999999994, 29411]","[0.20799999999999999, -0.18799999999999994, 29428]","[0.21199999999999999, -0.18799999999999994, 29445]","[0.21199999999999999, -0.18799999999999994, 29461]","[0.216, -0.18799999999999994, 29479]","[0.22, -0.18799999999999994, 29495]","[0.224, -0.18799999999999994, 29511]","[0.22800000000000001, -0.18799999999999994, 29529]","[0.23599999999999999, -0.18799999999999994, 29545]","[0.23999999999999999, -0.18799999999999994, 29561]","[0.24399999999999999, -0.18799999999999994, 29578]","[0.252, -0.18799999999999994, 29595]","[0.26000000000000001, -0.18799999999999994, 29612]","[0.26400000000000001, -0.18799999999999994, 29629]","[0.27200000000000002, -0.18799999999999994, 29645]","[0.27600000000000002, -0.18799999999999994, 29662]","[0.28399999999999997, -0.18399999999999994, 29695]","[0.29999999999999999, -0.17999999999999994, 29728]","[0.312, -0.17599999999999993, 29762]","[0.32400000000000001, -0.17199999999999993, 29795]","[0.33600000000000002, -0.16799999999999993, 29829]","[0.34399999999999997, -0.16399999999999992, 29862]","[0.34399999999999997, -0.16399999999999992, 29896]","[0.34399999999999997, -0.16399999999999992, 29929]","[0.34399999999999997, -0.16399999999999992, 29962]"
"[-0.22, -0.28000000000000003, 30896]","[-0.22800000000000001, -0.28000000000000003, 30963]","[-0.22800000000000001, -0.27600000000000002, 30979]","[-0.22800000000000001, -0.27600000000000002, 30996]","[-0.23200000000000001, -0.27600000000000002, 31013]","[-0.23200000000000001, -0.27600000000000002, 31029]","[-0.23599999999999999, -0.27600000000000002, 31046]","[-0.23599999999999999, -0.27600000000000002, 31063]","[-0.23999999999999999, -0.27600000000000002, 31080]","[-0.23999999999999999, -0.27600000000000002, 31096]","[-0.24399999999999999, -0.27600000000000002, 31113]","[-0.24399999999999999, -0.27600000000000002, 31130]","[-0.248, -0.27600000000000002, 31147]","[-0.248, -0.27600000000000002, 31163]","[-0.252, -0.27600000000000002, 31180]","[-0.252, -0.27600000000000002, 31197]","[-0.25600000000000001, -0.27600000000000002, 31213]","[-0.25600000000000001, -0.27600000000000002, 31230]","[-0.25600000000000001, -0.27600000000000002, 31246]","[-0.25600000000000001, -0.27600000000000002, 31263]","[-0.25600000000000001, -0.27600000000000002, 31280]","[-0.26000000000000001, -0.27600000000000002, 31296]","[-0.26000000000000001, -0.27600000000000002, 31313]","[-0.26400000000000001, -0.27600000000000002, 31330]","[-0.26400000000000001, -0.27600000000000002, 31347]","[-0.26400000000000001, -0.27600000000000002, 31363]","[-0.26400000000000001, -0.27600000000000002, 31380]","[-0.26400000000000001, -0.27600000000000002, 31397]","[-0.26800000000000002, -0.27600000000000002, 31413]","[-0.26800000000000002, -0.28000000000000003, 31429]","[-0.26800000000000002, -0.28400000000000003, 31447]","[-0.26800000000000002, -0.28800000000000003, 31463]","[-0.27200000000000002, -0.28800000000000003, 31480]","[-0.27200000000000002, -0.29200000000000004, 31497]","[-0.27200000000000002, -0.29600000000000004, 31513]","[-0.27200000000000002, -0.29600000000000004, 31529]","[-0.27200000000000002, -0.30000000000000004, 31547]","[-0.27200000000000002, -0.30000000000000004, 31563]","[-0.27200000000000002, -0.30400000000000005, 31579]","[-0.27200000000000002, -0.30400000000000005, 31613]","[-0.27200000000000002, -0.30400000000000005, 31630]","[-0.27200000000000002, -0.30400000000000005, 31646]","[-0.27200000000000002, -0.30400000000000005, 31663]","[-0.27200000000000002, -0.30400000000000005, 31697]","[-0.27200000000000002, -0.30400000000000005, 31730]","[-0.27200000000000002, -0.30400000000000005, 31763]"
