"[0.012, -0.044000000000000039, 3666]","[0.012, -0.048000000000000043, 3683]","[0.012, -0.048000000000000043, 3700]","[0.012, -0.048000000000000043, 3717]","[0.012, -0.048000000000000043, 3733]","[0.012, -0.048000000000000043, 3750]","[0.012, -0.048000000000000043, 3767]","[0.012, -0.048000000000000043, 3784]","[0.0080000000000000002, -0.048000000000000043, 3800]","[0.0080000000000000002, -0.048000000000000043, 3816]","[0.0080000000000000002, -0.048000000000000043, 3833]","[0.0080000000000000002, -0.048000000000000043, 3849]","[0.0040000000000000001, -0.044000000000000039, 3867]","[0.0040000000000000001, -0.044000000000000039, 3883]","[0.0040000000000000001, -0.036000000000000032, 3900]","[0.0040000000000000001, -0.028000000000000025, 3916]","[0.0040000000000000001, -0.020000000000000018, 3933]","[0.0040000000000000001, -0.0080000000000000071, 3950]","[0.0, 0.0, 3966]","[0.0, 0.012000000000000011, 3983]","[0.0, 0.020000000000000018, 3999]","[0.0, 0.032000000000000028, 4017]","[-0.0040000000000000001, 0.044000000000000039, 4033]","[-0.0040000000000000001, 0.05600000000000005, 4049]","[-0.0080000000000000002, 0.067999999999999949, 4066]","[-0.012, 0.07999999999999996, 4083]","[-0.016, 0.091999999999999971, 4100]","[-0.02, 0.10399999999999998, 4116]","[-0.024, 0.11599999999999999, 4133]","[-0.024, 0.128, 4149]","[-0.028000000000000001, 0.13600000000000001, 4167]","[-0.032000000000000001, 0.15200000000000002, 4182]","[-0.035999999999999997, 0.16000000000000003, 4199]","[-0.035999999999999997, 0.16800000000000004, 4216]","[-0.040000000000000001, 0.17600000000000005, 4233]","[-0.043999999999999997, 0.18400000000000005, 4267]","[-0.048000000000000001, 0.19199999999999995, 4282]","[-0.051999999999999998, 0.19199999999999995, 4300]","[-0.056000000000000001, 0.19599999999999995, 4316]","[-0.064000000000000001, 0.19999999999999996, 4333]","[-0.071999999999999995, 0.20399999999999996, 4350]","[-0.087999999999999995, 0.20799999999999996, 4383]","[-0.104, 0.21199999999999997, 4416]","[-0.124, 0.21199999999999997, 4450]","[-0.14000000000000001, 0.20799999999999996, 4483]","[-0.152, 0.19999999999999996, 4517]","[-0.17199999999999999, 0.17600000000000005, 4550]","[-0.188, 0.15600000000000003, 4583]","[-0.20000000000000001, 0.13200000000000001, 4617]","[-0.216, 0.10399999999999998, 4651]","[-0.22, 0.07999999999999996, 4684]","[-0.22800000000000001, 0.05600000000000005, 4700]","[-0.22800000000000001, 0.044000000000000039, 4717]","[-0.23200000000000001, 0.028000000000000025, 4751]","[-0.23599999999999999, 0.0080000000000000071, 4784]","[-0.23599999999999999, -0.020000000000000018, 4817]","[-0.23599999999999999, -0.036000000000000032, 4850]","[-0.23599999999999999, -0.064000000000000057, 4883]","[-0.23200000000000001, -0.088000000000000078, 4917]","[-0.224, -0.1160000000000001, 4950]","[-0.216, -0.1319999999999999, 4984]","[-0.20000000000000001, -0.15199999999999991, 5017]","[-0.192, -0.16799999999999993, 5051]","[-0.17199999999999999, -0.18399999999999994, 5083]","[-0.16, -0.19599999999999995, 5117]","[-0.13600000000000001, -0.20399999999999996, 5150]","[-0.12, -0.21199999999999997, 5184]","[-0.104, -0.21999999999999997, 5217]","[-0.087999999999999995, -0.23199999999999998, 5250]","[-0.068000000000000005, -0.23599999999999999, 5284]","[-0.056000000000000001, -0.24399999999999999, 5317]","[-0.043999999999999997, -0.252, 5351]","[-0.028000000000000001, -0.25600000000000001, 5383]","[-0.02, -0.25600000000000001, 5417]","[-0.0080000000000000002, -0.26000000000000001, 5451]","[0.0040000000000000001, -0.26400000000000001, 5484]","[0.012, -0.26400000000000001, 5518]","[0.02, -0.26400000000000001, 5551]","[0.032000000000000001, -0.26800000000000002, 5584]","[0.040000000000000001, -0.26800000000000002, 5617]","[0.059999999999999998, -0.26800000000000002, 5667]","[0.068000000000000005, -0.26800000000000002, 5700]","[0.075999999999999998, -0.26800000000000002, 5734]","[0.084000000000000005, -0.26400000000000001, 5768]","[0.091999999999999998, -0.26000000000000001, 5801]","[0.10000000000000001, -0.25600000000000001, 5835]","[0.108, -0.248, 5868]","[0.112, -0.24399999999999999, 5901]","[0.11600000000000001, -0.23599999999999999, 5934]","[0.12, -0.22399999999999998, 5968]","[0.124, -0.21599999999999997, 6001]","[0.124, -0.20799999999999996, 6034]","[0.124, -0.19999999999999996, 6068]","[0.124, -0.19199999999999995, 6101]","[0.124, -0.18799999999999994, 6134]","[0.124, -0.18399999999999994, 6167]","[0.12, -0.17599999999999993, 6201]","[0.11600000000000001, -0.17199999999999993, 6234]","[0.112, -0.17199999999999993, 6268]","[0.108, -0.17199999999999993, 6301]","[0.10000000000000001, -0.16799999999999993, 6335]","[0.091999999999999998, -0.16799999999999993, 6367]","[0.087999999999999995, -0.16399999999999992, 6401]","[0.080000000000000002, -0.16399999999999992, 6434]","[0.080000000000000002, -0.16399999999999992, 6468]","[0.080000000000000002, -0.16399999999999992, 6501]","[0.080000000000000002, -0.16399999999999992, 6534]","[0.080000000000000002, -0.16399999999999992, 6568]","[0.080000000000000002, -0.16399999999999992, 6602]"
"[-0.051999999999999998, 0.020000000000000018, 7885]","[-0.051999999999999998, 0.020000000000000018, 7935]","[-0.051999999999999998, 0.020000000000000018, 7951]","[-0.051999999999999998, 0.020000000000000018, 7969]","[-0.051999999999999998, 0.020000000000000018, 7984]","[-0.051999999999999998, 0.020000000000000018, 8001]","[-0.051999999999999998, 0.020000000000000018, 8018]","[-0.051999999999999998, 0.020000000000000018, 8035]","[-0.051999999999999998, 0.020000000000000018, 8052]","[-0.051999999999999998, 0.020000000000000018, 8069]","[-0.051999999999999998, 0.020000000000000018, 8086]","[-0.051999999999999998, 0.020000000000000018, 8102]","[-0.051999999999999998, 0.020000000000000018, 8118]","[-0.051999999999999998, 0.020000000000000018, 8135]","[-0.051999999999999998, 0.028000000000000025, 8152]","[-0.051999999999999998, 0.032000000000000028, 8169]","[-0.051999999999999998, 0.036000000000000032, 8185]","[-0.051999999999999998, 0.040000000000000036, 8201]","[-0.051999999999999998, 0.044000000000000039, 8218]","[-0.048000000000000001, 0.052000000000000046, 8235]","[-0.043999999999999997, 0.05600000000000005, 8252]","[-0.040000000000000001, 0.060000000000000053, 8269]","[-0.032000000000000001, 0.067999999999999949, 8285]","[-0.024, 0.071999999999999953, 8302]","[-0.02, 0.075999999999999956, 8319]","[-0.016, 0.075999999999999956, 8335]","[-0.012, 0.07999999999999996, 8352]","[-0.012, 0.07999999999999996, 8368]","[-0.0080000000000000002, 0.07999999999999996, 8385]","[-0.0080000000000000002, 0.07999999999999996, 8401]","[-0.0040000000000000001, 0.07999999999999996, 8419]","[-0.0040000000000000001, 0.07999999999999996, 8436]","[0.0, 0.07999999999999996, 8451]","[0.0040000000000000001, 0.07999999999999996, 8469]","[0.0080000000000000002, 0.075999999999999956, 8486]","[0.012, 0.071999999999999953, 8503]","[0.016, 0.071999999999999953, 8518]","[0.02, 0.063999999999999946, 8536]","[0.02, 0.060000000000000053, 8552]","[0.024, 0.05600000000000005, 8569]","[0.028000000000000001, 0.052000000000000046, 8585]","[0.028000000000000001, 0.048000000000000043, 8602]","[0.028000000000000001, 0.044000000000000039, 8619]","[0.032000000000000001, 0.036000000000000032, 8635]","[0.032000000000000001, 0.032000000000000028, 8653]","[0.035999999999999997, 0.028000000000000025, 8669]","[0.035999999999999997, 0.024000000000000021, 8686]","[0.035999999999999997, 0.020000000000000018, 8703]","[0.035999999999999997, 0.016000000000000014, 8736]","[0.035999999999999997, 0.012000000000000011, 8769]","[0.035999999999999997, 0.0040000000000000036, 8803]","[0.035999999999999997, 0.0, 8835]","[0.035999999999999997, -0.0080000000000000071, 8869]","[0.035999999999999997, -0.016000000000000014, 8902]","[0.035999999999999997, -0.024000000000000021, 8937]","[0.035999999999999997, -0.036000000000000032, 8969]","[0.035999999999999997, -0.044000000000000039, 9003]","[0.035999999999999997, -0.05600000000000005, 9036]","[0.035999999999999997, -0.064000000000000057, 9069]","[0.035999999999999997, -0.072000000000000064, 9103]","[0.035999999999999997, -0.080000000000000071, 9136]","[0.035999999999999997, -0.088000000000000078, 9168]","[0.035999999999999997, -0.096000000000000085, 9202]","[0.035999999999999997, -0.10400000000000009, 9235]","[0.035999999999999997, -0.1080000000000001, 9269]","[0.035999999999999997, -0.1120000000000001, 9302]","[0.035999999999999997, -0.1160000000000001, 9336]","[0.035999999999999997, -0.1160000000000001, 9369]","[0.035999999999999997, -0.1160000000000001, 9402]","[0.035999999999999997, -0.1160000000000001, 9436]","[0.035999999999999997, -0.1160000000000001, 9470]","[0.035999999999999997, -0.1160000000000001, 9503]","[0.035999999999999997, -0.1120000000000001, 9535]","[0.035999999999999997, -0.096000000000000085, 9569]","[0.035999999999999997, -0.080000000000000071, 9602]","[0.035999999999999997, -0.05600000000000005, 9636]","[0.035999999999999997, -0.044000000000000039, 9670]","[0.035999999999999997, -0.032000000000000028, 9703]","[0.035999999999999997, -0.020000000000000018, 9736]","[0.035999999999999997, -0.012000000000000011, 9769]","[0.035999999999999997, -0.012000000000000011, 9836]","[0.035999999999999997, -0.012000000000000011, 9869]","[0.035999999999999997, -0.012000000000000011, 9903]","[0.035999999999999997, -0.012000000000000011, 9936]","[0.040000000000000001, -0.012000000000000011, 9969]","[0.051999999999999998, -0.012000000000000011, 10003]","[0.068000000000000005, -0.012000000000000011, 10036]","[0.080000000000000002, -0.012000000000000011, 10069]","[0.087999999999999995, -0.012000000000000011, 10103]","[0.096000000000000002, -0.012000000000000011, 10136]","[0.104, -0.012000000000000011, 10169]","[0.108, -0.012000000000000011, 10202]","[0.108, -0.012000000000000011, 10236]","[0.108, -0.012000000000000011, 10270]","[0.108, -0.012000000000000011, 10303]","[0.108, -0.012000000000000011, 10336]","[0.108, -0.012000000000000011, 10370]","[0.108, -0.012000000000000011, 10402]","[0.108, -0.012000000000000011, 10436]","[0.108, -0.016000000000000014, 10469]"
"[0.012, -0.064000000000000057, 12504]","[0.02, -0.06800000000000006, 12570]","[0.024, -0.06800000000000006, 12587]","[0.028000000000000001, -0.06800000000000006, 12604]","[0.032000000000000001, -0.06800000000000006, 12620]","[0.032000000000000001, -0.06800000000000006, 12637]","[0.032000000000000001, -0.06800000000000006, 12654]","[0.032000000000000001, -0.06800000000000006, 12670]","[0.032000000000000001, -0.072000000000000064, 12688]","[0.032000000000000001, -0.072000000000000064, 12704]","[0.032000000000000001, -0.072000000000000064, 12721]","[0.032000000000000001, -0.072000000000000064, 12737]","[0.032000000000000001, -0.072000000000000064, 12754]","[0.032000000000000001, -0.072000000000000064, 12771]","[0.032000000000000001, -0.072000000000000064, 12788]","[0.032000000000000001, -0.076000000000000068, 12804]","[0.032000000000000001, -0.076000000000000068, 12821]","[0.032000000000000001, -0.080000000000000071, 12837]","[0.032000000000000001, -0.080000000000000071, 12853]","[0.032000000000000001, -0.084000000000000075, 12871]","[0.032000000000000001, -0.084000000000000075, 12888]","[0.032000000000000001, -0.092000000000000082, 12904]","[0.032000000000000001, -0.096000000000000085, 12920]","[0.032000000000000001, -0.10400000000000009, 12938]","[0.032000000000000001, -0.10400000000000009, 12954]","[0.032000000000000001, -0.1120000000000001, 12971]","[0.032000000000000001, -0.1120000000000001, 12987]","[0.032000000000000001, -0.1160000000000001, 13004]","[0.032000000000000001, -0.1160000000000001, 13020]","[0.032000000000000001, -0.1160000000000001, 13037]","[0.032000000000000001, -0.1160000000000001, 13053]","[0.032000000000000001, -0.1160000000000001, 13070]","[0.032000000000000001, -0.1160000000000001, 13087]","[0.032000000000000001, -0.1160000000000001, 13104]","[0.032000000000000001, -0.1160000000000001, 13121]","[0.032000000000000001, -0.1160000000000001, 13137]","[0.032000000000000001, -0.1160000000000001, 13171]","[0.032000000000000001, -0.1160000000000001, 13204]","[0.032000000000000001, -0.1160000000000001, 13237]","[0.032000000000000001, -0.1080000000000001, 13254]","[0.028000000000000001, -0.10400000000000009, 13271]","[0.028000000000000001, -0.096000000000000085, 13288]","[0.024, -0.088000000000000078, 13321]","[0.02, -0.076000000000000068, 13354]","[0.02, -0.064000000000000057, 13388]","[0.02, -0.052000000000000046, 13422]","[0.02, -0.036000000000000032, 13454]","[0.016, -0.028000000000000025, 13488]","[0.016, -0.016000000000000014, 13521]","[0.016, -0.0080000000000000071, 13555]","[0.016, 0.0, 13587]","[0.016, 0.0080000000000000071, 13621]","[0.016, 0.012000000000000011, 13654]","[0.016, 0.016000000000000014, 13688]","[0.016, 0.024000000000000021, 13722]","[0.016, 0.032000000000000028, 13755]","[0.016, 0.036000000000000032, 13788]","[0.016, 0.044000000000000039, 13822]","[0.016, 0.052000000000000046, 13855]","[0.016, 0.052000000000000046, 13888]","[0.016, 0.05600000000000005, 13921]","[0.016, 0.060000000000000053, 13954]","[0.0080000000000000002, 0.063999999999999946, 13987]","[0.0040000000000000001, 0.067999999999999949, 14021]","[-0.0040000000000000001, 0.067999999999999949, 14054]","[-0.0080000000000000002, 0.067999999999999949, 14088]","[-0.02, 0.063999999999999946, 14121]","[-0.028000000000000001, 0.05600000000000005, 14155]","[-0.032000000000000001, 0.048000000000000043, 14187]","[-0.040000000000000001, 0.040000000000000036, 14222]","[-0.043999999999999997, 0.032000000000000028, 14254]","[-0.043999999999999997, 0.024000000000000021, 14287]","[-0.048000000000000001, 0.020000000000000018, 14321]","[-0.048000000000000001, 0.016000000000000014, 14355]","[-0.048000000000000001, 0.016000000000000014, 14388]","[-0.048000000000000001, 0.016000000000000014, 14422]"
"[0.024, -0.072000000000000064, 17573]","[0.028000000000000001, -0.064000000000000057, 17640]","[0.028000000000000001, -0.064000000000000057, 17656]","[0.028000000000000001, -0.064000000000000057, 17673]","[0.032000000000000001, -0.064000000000000057, 17689]","[0.032000000000000001, -0.060000000000000053, 17706]","[0.032000000000000001, -0.05600000000000005, 17723]","[0.032000000000000001, -0.052000000000000046, 17740]","[0.032000000000000001, -0.052000000000000046, 17756]","[0.032000000000000001, -0.048000000000000043, 17773]","[0.032000000000000001, -0.048000000000000043, 17790]","[0.032000000000000001, -0.048000000000000043, 17807]","[0.032000000000000001, -0.048000000000000043, 17823]","[0.032000000000000001, -0.048000000000000043, 17840]","[0.032000000000000001, -0.048000000000000043, 17856]","[0.032000000000000001, -0.048000000000000043, 17873]","[0.032000000000000001, -0.048000000000000043, 17890]","[0.032000000000000001, -0.048000000000000043, 17907]","[0.032000000000000001, -0.048000000000000043, 17924]","[0.032000000000000001, -0.048000000000000043, 17940]","[0.032000000000000001, -0.048000000000000043, 17956]","[0.032000000000000001, -0.048000000000000043, 17973]","[0.032000000000000001, -0.048000000000000043, 17990]","[0.032000000000000001, -0.048000000000000043, 18006]","[0.032000000000000001, -0.048000000000000043, 18022]","[0.032000000000000001, -0.048000000000000043, 18040]","[0.032000000000000001, -0.048000000000000043, 18057]","[0.032000000000000001, -0.048000000000000043, 18072]","[0.032000000000000001, -0.048000000000000043, 18090]","[0.032000000000000001, -0.048000000000000043, 18107]","[0.032000000000000001, -0.048000000000000043, 18123]","[0.032000000000000001, -0.048000000000000043, 18140]","[0.032000000000000001, -0.048000000000000043, 18157]","[0.032000000000000001, -0.048000000000000043, 18173]","[0.035999999999999997, -0.048000000000000043, 18190]","[0.035999999999999997, -0.048000000000000043, 18206]","[0.040000000000000001, -0.048000000000000043, 18222]","[0.040000000000000001, -0.048000000000000043, 18240]","[0.043999999999999997, -0.048000000000000043, 18256]","[0.048000000000000001, -0.048000000000000043, 18274]","[0.051999999999999998, -0.048000000000000043, 18290]","[0.056000000000000001, -0.048000000000000043, 18306]","[0.059999999999999998, -0.048000000000000043, 18323]","[0.064000000000000001, -0.048000000000000043, 18340]","[0.068000000000000005, -0.044000000000000039, 18374]","[0.075999999999999998, -0.044000000000000039, 18407]","[0.080000000000000002, -0.044000000000000039, 18440]","[0.080000000000000002, -0.044000000000000039, 18473]","[0.084000000000000005, -0.044000000000000039, 18506]","[0.087999999999999995, -0.044000000000000039, 18540]","[0.087999999999999995, -0.044000000000000039, 18573]","[0.087999999999999995, -0.044000000000000039, 18607]","[0.091999999999999998, -0.044000000000000039, 18640]","[0.096000000000000002, -0.040000000000000036, 18674]","[0.096000000000000002, -0.040000000000000036, 18707]","[0.096000000000000002, -0.040000000000000036, 18740]","[0.096000000000000002, -0.040000000000000036, 18773]","[0.096000000000000002, -0.040000000000000036, 18806]","[0.096000000000000002, -0.040000000000000036, 18840]","[0.096000000000000002, -0.040000000000000036, 18873]","[0.096000000000000002, -0.040000000000000036, 18907]","[0.096000000000000002, -0.040000000000000036, 18940]","[0.096000000000000002, -0.040000000000000036, 18974]","[0.096000000000000002, -0.040000000000000036, 19007]","[0.091999999999999998, -0.040000000000000036, 19040]","[0.080000000000000002, -0.040000000000000036, 19074]","[0.068000000000000005, -0.040000000000000036, 19107]","[0.056000000000000001, -0.040000000000000036, 19141]","[0.040000000000000001, -0.040000000000000036, 19174]","[0.035999999999999997, -0.040000000000000036, 19208]","[0.032000000000000001, -0.040000000000000036, 19240]","[0.032000000000000001, -0.040000000000000036, 19274]","[0.032000000000000001, -0.040000000000000036, 19307]","[0.032000000000000001, -0.040000000000000036, 19340]","[0.032000000000000001, -0.040000000000000036, 19374]","[0.032000000000000001, -0.040000000000000036, 19407]"
