"[-0.216, 0.099999999999999978, 4154]","[-0.216, 0.10399999999999998, 4170]","[-0.216, 0.10399999999999998, 4186]","[-0.216, 0.10399999999999998, 4203]","[-0.216, 0.10399999999999998, 4220]","[-0.216, 0.10399999999999998, 4237]","[-0.216, 0.10399999999999998, 4254]","[-0.216, 0.10399999999999998, 4270]","[-0.216, 0.10399999999999998, 4287]","[-0.216, 0.10399999999999998, 4303]","[-0.216, 0.10399999999999998, 4320]","[-0.216, 0.10399999999999998, 4336]","[-0.216, 0.10399999999999998, 4354]","[-0.216, 0.10399999999999998, 4370]","[-0.216, 0.10399999999999998, 4387]","[-0.216, 0.10399999999999998, 4404]","[-0.216, 0.10399999999999998, 4421]","[-0.216, 0.10399999999999998, 4437]","[-0.216, 0.10399999999999998, 4453]","[-0.216, 0.10399999999999998, 4470]","[-0.20000000000000001, 0.10799999999999998, 4487]","[-0.188, 0.10799999999999998, 4504]","[-0.17599999999999999, 0.10799999999999998, 4520]","[-0.17199999999999999, 0.10799999999999998, 4537]","[-0.156, 0.10799999999999998, 4554]","[-0.14399999999999999, 0.10799999999999998, 4570]","[-0.13200000000000001, 0.10799999999999998, 4588]","[-0.12, 0.10799999999999998, 4604]","[-0.108, 0.10399999999999998, 4620]","[-0.096000000000000002, 0.099999999999999978, 4636]","[-0.080000000000000002, 0.095999999999999974, 4654]","[-0.064000000000000001, 0.091999999999999971, 4670]","[-0.048000000000000001, 0.091999999999999971, 4687]","[-0.032000000000000001, 0.091999999999999971, 4704]","[-0.024, 0.091999999999999971, 4721]","[-0.016, 0.091999999999999971, 4737]","[-0.0080000000000000002, 0.091999999999999971, 4754]","[0.0080000000000000002, 0.091999999999999971, 4770]","[0.024, 0.091999999999999971, 4788]","[0.040000000000000001, 0.091999999999999971, 4804]","[0.048000000000000001, 0.091999999999999971, 4820]","[0.056000000000000001, 0.091999999999999971, 4837]","[0.059999999999999998, 0.091999999999999971, 4854]","[0.068000000000000005, 0.091999999999999971, 4871]","[0.071999999999999995, 0.091999999999999971, 4887]","[0.075999999999999998, 0.091999999999999971, 4904]","[0.080000000000000002, 0.091999999999999971, 4920]","[0.080000000000000002, 0.091999999999999971, 4938]","[0.080000000000000002, 0.095999999999999974, 4953]","[0.080000000000000002, 0.095999999999999974, 4971]","[0.084000000000000005, 0.095999999999999974, 4988]","[0.084000000000000005, 0.095999999999999974, 5004]","[0.084000000000000005, 0.095999999999999974, 5021]","[0.084000000000000005, 0.095999999999999974, 5038]","[0.084000000000000005, 0.095999999999999974, 5055]","[0.084000000000000005, 0.095999999999999974, 5070]","[0.084000000000000005, 0.095999999999999974, 5087]","[0.084000000000000005, 0.095999999999999974, 5103]","[0.084000000000000005, 0.095999999999999974, 5121]","[0.084000000000000005, 0.095999999999999974, 5137]","[0.084000000000000005, 0.095999999999999974, 5154]","[0.084000000000000005, 0.095999999999999974, 5171]","[0.084000000000000005, 0.095999999999999974, 5187]","[0.084000000000000005, 0.095999999999999974, 5204]","[0.084000000000000005, 0.095999999999999974, 5220]","[0.084000000000000005, 0.095999999999999974, 5237]","[0.084000000000000005, 0.095999999999999974, 5254]","[0.084000000000000005, 0.095999999999999974, 5271]","[0.084000000000000005, 0.095999999999999974, 5288]","[0.084000000000000005, 0.099999999999999978, 5304]","[0.080000000000000002, 0.099999999999999978, 5321]","[0.080000000000000002, 0.10399999999999998, 5337]","[0.075999999999999998, 0.10799999999999998, 5354]","[0.075999999999999998, 0.11199999999999999, 5370]","[0.068000000000000005, 0.11199999999999999, 5387]","[0.059999999999999998, 0.11599999999999999, 5404]","[0.059999999999999998, 0.12, 5420]","[0.056000000000000001, 0.124, 5437]","[0.048000000000000001, 0.13200000000000001, 5454]","[0.048000000000000001, 0.13200000000000001, 5471]","[0.040000000000000001, 0.14000000000000001, 5521]","[0.035999999999999997, 0.14400000000000002, 5537]","[0.035999999999999997, 0.14400000000000002, 5554]","[0.032000000000000001, 0.14800000000000002, 5571]","[0.032000000000000001, 0.14800000000000002, 5604]","[0.028000000000000001, 0.14800000000000002, 5620]","[0.028000000000000001, 0.14800000000000002, 5637]","[0.028000000000000001, 0.14800000000000002, 5654]","[0.032000000000000001, 0.14400000000000002, 5671]","[0.040000000000000001, 0.14400000000000002, 5705]","[0.080000000000000002, 0.16000000000000003, 5721]","[0.112, 0.18000000000000005, 5738]","[0.156, 0.20399999999999996, 5754]","[0.16800000000000001, 0.21199999999999997, 5771]"
"[-0.059999999999999998, 0.07999999999999996, 15661]","[-0.059999999999999998, 0.07999999999999996, 15695]","[-0.059999999999999998, 0.07999999999999996, 15711]","[-0.059999999999999998, 0.07999999999999996, 15728]","[-0.059999999999999998, 0.07999999999999996, 15745]","[-0.059999999999999998, 0.07999999999999996, 15761]","[-0.059999999999999998, 0.07999999999999996, 15779]","[-0.059999999999999998, 0.07999999999999996, 15796]","[-0.059999999999999998, 0.07999999999999996, 15811]","[-0.059999999999999998, 0.07999999999999996, 15829]","[-0.059999999999999998, 0.07999999999999996, 15845]","[-0.059999999999999998, 0.07999999999999996, 15862]","[-0.059999999999999998, 0.07999999999999996, 15878]","[-0.059999999999999998, 0.07999999999999996, 15895]","[-0.059999999999999998, 0.07999999999999996, 15912]","[-0.059999999999999998, 0.07999999999999996, 15929]","[-0.059999999999999998, 0.07999999999999996, 15945]","[-0.059999999999999998, 0.07999999999999996, 15961]","[-0.059999999999999998, 0.075999999999999956, 15979]","[-0.056000000000000001, 0.071999999999999953, 15995]","[-0.043999999999999997, 0.060000000000000053, 16012]","[-0.032000000000000001, 0.052000000000000046, 16028]","[-0.024, 0.044000000000000039, 16045]","[-0.012, 0.032000000000000028, 16062]","[-0.0040000000000000001, 0.020000000000000018, 16078]","[0.0, -0.0040000000000000036, 16094]","[0.0, -0.020000000000000018, 16111]","[0.0, -0.032000000000000028, 16129]"
"[0.012, -0.048000000000000043, 18063]","[0.012, -0.048000000000000043, 18097]","[0.012, -0.048000000000000043, 18113]","[0.012, -0.048000000000000043, 18130]","[0.012, -0.048000000000000043, 18146]","[0.012, -0.048000000000000043, 18164]","[0.012, -0.048000000000000043, 18179]","[0.012, -0.048000000000000043, 18197]","[0.012, -0.048000000000000043, 18213]","[0.012, -0.048000000000000043, 18231]","[0.012, -0.048000000000000043, 18246]","[0.012, -0.048000000000000043, 18263]","[0.012, -0.048000000000000043, 18280]","[0.012, -0.048000000000000043, 18296]","[0.012, -0.048000000000000043, 18314]","[0.012, -0.040000000000000036, 18330]","[0.016, -0.032000000000000028, 18347]","[0.02, -0.020000000000000018, 18363]","[0.024, -0.016000000000000014, 18381]","[0.028000000000000001, -0.012000000000000011, 18396]","[0.032000000000000001, -0.0080000000000000071, 18413]","[0.040000000000000001, 0.0040000000000000036, 18430]","[0.051999999999999998, 0.012000000000000011, 18447]","[0.059999999999999998, 0.016000000000000014, 18464]","[0.064000000000000001, 0.016000000000000014, 18480]","[0.068000000000000005, 0.016000000000000014, 18497]","[0.068000000000000005, 0.016000000000000014, 18513]","[0.071999999999999995, 0.016000000000000014, 18530]","[0.080000000000000002, 0.016000000000000014, 18547]","[0.084000000000000005, 0.012000000000000011, 18563]","[0.091999999999999998, 0.0040000000000000036, 18580]","[0.10000000000000001, -0.0040000000000000036, 18597]","[0.112, -0.016000000000000014, 18614]","[0.11600000000000001, -0.024000000000000021, 18630]","[0.124, -0.032000000000000028, 18647]","[0.128, -0.044000000000000039, 18663]","[0.13200000000000001, -0.06800000000000006, 18680]","[0.13600000000000001, -0.088000000000000078, 18697]","[0.14000000000000001, -0.10000000000000009, 18714]","[0.14000000000000001, -0.1160000000000001, 18730]","[0.14399999999999999, -0.1359999999999999, 18747]","[0.14399999999999999, -0.14799999999999991, 18764]","[0.14399999999999999, -0.15999999999999992, 18780]","[0.14399999999999999, -0.16799999999999993, 18797]","[0.14000000000000001, -0.17599999999999993, 18814]","[0.128, -0.19199999999999995, 18831]","[0.12, -0.19999999999999996, 18847]","[0.112, -0.20799999999999996, 18864]","[0.104, -0.21199999999999997, 18880]","[0.096000000000000002, -0.21199999999999997, 18897]","[0.091999999999999998, -0.20799999999999996, 18914]","[0.084000000000000005, -0.20399999999999996, 18931]","[0.068000000000000005, -0.20399999999999996, 18947]","[0.059999999999999998, -0.19999999999999996, 18964]","[0.051999999999999998, -0.19999999999999996, 18980]","[0.043999999999999997, -0.19199999999999995, 18998]","[0.040000000000000001, -0.18399999999999994, 19014]","[0.032000000000000001, -0.17199999999999993, 19031]","[0.032000000000000001, -0.16399999999999992, 19047]","[0.028000000000000001, -0.15199999999999991, 19064]","[0.028000000000000001, -0.14399999999999991, 19081]","[0.024, -0.1319999999999999, 19098]","[0.02, -0.12400000000000011, 19130]","[0.02, -0.1080000000000001, 19148]","[0.02, -0.092000000000000082, 19164]","[0.02, -0.084000000000000075, 19181]","[0.016, -0.076000000000000068, 19197]","[0.016, -0.072000000000000064, 19214]","[0.012, -0.064000000000000057, 19230]","[0.0080000000000000002, -0.048000000000000043, 19247]","[0.0080000000000000002, -0.040000000000000036, 19263]","[0.0080000000000000002, -0.036000000000000032, 19281]","[0.0080000000000000002, -0.032000000000000028, 19298]","[0.0040000000000000001, -0.024000000000000021, 19314]","[0.0040000000000000001, -0.024000000000000021, 19330]","[0.0, -0.024000000000000021, 19348]"
"[-0.0040000000000000001, -0.040000000000000036, 22116]","[-0.0040000000000000001, -0.040000000000000036, 22166]","[-0.0040000000000000001, -0.040000000000000036, 22183]","[-0.0040000000000000001, -0.040000000000000036, 22199]","[-0.0040000000000000001, -0.040000000000000036, 22217]","[-0.0040000000000000001, -0.040000000000000036, 22234]","[-0.0040000000000000001, -0.040000000000000036, 22250]","[-0.0040000000000000001, -0.040000000000000036, 22266]","[-0.0040000000000000001, -0.040000000000000036, 22284]","[-0.0040000000000000001, -0.040000000000000036, 22300]","[-0.0040000000000000001, -0.040000000000000036, 22316]","[-0.0040000000000000001, -0.040000000000000036, 22333]","[-0.012, -0.040000000000000036, 22349]","[-0.016, -0.036000000000000032, 22367]","[-0.02, -0.032000000000000028, 22383]","[-0.024, -0.028000000000000025, 22400]","[-0.028000000000000001, -0.028000000000000025, 22416]","[-0.035999999999999997, -0.024000000000000021, 22433]","[-0.040000000000000001, -0.024000000000000021, 22450]","[-0.043999999999999997, -0.024000000000000021, 22467]","[-0.051999999999999998, -0.024000000000000021, 22483]","[-0.059999999999999998, -0.024000000000000021, 22499]","[-0.064000000000000001, -0.024000000000000021, 22516]","[-0.071999999999999995, -0.024000000000000021, 22533]","[-0.084000000000000005, -0.024000000000000021, 22550]","[-0.091999999999999998, -0.024000000000000021, 22566]","[-0.096000000000000002, -0.028000000000000025, 22584]","[-0.104, -0.032000000000000028, 22600]","[-0.11600000000000001, -0.044000000000000039, 22617]","[-0.128, -0.064000000000000057, 22633]","[-0.14000000000000001, -0.076000000000000068, 22649]","[-0.14799999999999999, -0.088000000000000078, 22667]","[-0.156, -0.10000000000000009, 22683]","[-0.16400000000000001, -0.1160000000000001, 22700]","[-0.16800000000000001, -0.12799999999999989, 22716]","[-0.17199999999999999, -0.14399999999999991, 22734]","[-0.17599999999999999, -0.15999999999999992, 22750]","[-0.17599999999999999, -0.17599999999999993, 22767]","[-0.17599999999999999, -0.19199999999999995, 22783]","[-0.17599999999999999, -0.19999999999999996, 22801]","[-0.17599999999999999, -0.21199999999999997, 22818]","[-0.17599999999999999, -0.21999999999999997, 22834]","[-0.17199999999999999, -0.22799999999999998, 22850]","[-0.16800000000000001, -0.23599999999999999, 22866]","[-0.16400000000000001, -0.24399999999999999, 22884]","[-0.156, -0.24399999999999999, 22901]","[-0.14799999999999999, -0.248, 22917]","[-0.14000000000000001, -0.248, 22933]","[-0.128, -0.248, 22950]","[-0.12, -0.248, 22967]","[-0.108, -0.248, 22983]","[-0.10000000000000001, -0.23999999999999999, 23000]","[-0.091999999999999998, -0.23199999999999998, 23017]","[-0.080000000000000002, -0.22399999999999998, 23033]","[-0.068000000000000005, -0.21599999999999997, 23050]","[-0.059999999999999998, -0.21199999999999997, 23067]","[-0.056000000000000001, -0.20799999999999996, 23084]","[-0.043999999999999997, -0.19999999999999996, 23101]","[-0.035999999999999997, -0.18399999999999994, 23117]","[-0.02, -0.16399999999999992, 23133]","[-0.012, -0.15599999999999992, 23150]","[-0.012, -0.14799999999999991, 23168]","[-0.0080000000000000002, -0.1399999999999999, 23184]","[-0.0080000000000000002, -0.12799999999999989, 23200]","[-0.0040000000000000001, -0.12000000000000011, 23218]","[-0.0040000000000000001, -0.1120000000000001, 23234]","[0.0, -0.1080000000000001, 23251]","[0.0, -0.10000000000000009, 23267]","[0.0040000000000000001, -0.092000000000000082, 23284]","[0.0080000000000000002, -0.080000000000000071, 23300]","[0.016, -0.064000000000000057, 23317]","[0.016, -0.048000000000000043, 23334]","[0.016, -0.044000000000000039, 23351]","[0.016, -0.044000000000000039, 23368]","[0.02, -0.032000000000000028, 23383]","[0.024, -0.032000000000000028, 23401]"
