"[-0.13200000000000001, 0.14400000000000002, 12008]","[-0.14399999999999999, 0.14400000000000002, 12025]","[-0.14799999999999999, 0.14400000000000002, 12041]","[-0.14799999999999999, 0.14400000000000002, 12058]","[-0.152, 0.14400000000000002, 12074]","[-0.156, 0.14400000000000002, 12091]","[-0.16400000000000001, 0.13600000000000001, 12108]","[-0.17199999999999999, 0.128, 12125]","[-0.184, 0.12, 12141]","[-0.19600000000000001, 0.10799999999999998, 12158]","[-0.22, 0.07999999999999996, 12175]","[-0.23599999999999999, 0.063999999999999946, 12192]","[-0.24399999999999999, 0.044000000000000039, 12208]","[-0.248, 0.016000000000000014, 12224]","[-0.248, -0.040000000000000036, 12242]","[-0.248, -0.072000000000000064, 12258]","[-0.23999999999999999, -0.096000000000000085, 12274]","[-0.22800000000000001, -0.12000000000000011, 12291]","[-0.21199999999999999, -0.14799999999999991, 12308]","[-0.20399999999999999, -0.15599999999999992, 12325]","[-0.19600000000000001, -0.16799999999999993, 12341]"
"[-0.156, 0.124, 13058]","[-0.156, 0.124, 13092]","[-0.156, 0.124, 13108]","[-0.156, 0.124, 13125]","[-0.156, 0.124, 13142]","[-0.156, 0.124, 13159]","[-0.156, 0.124, 13175]","[-0.156, 0.124, 13191]","[-0.156, 0.124, 13208]","[-0.156, 0.124, 13225]","[-0.156, 0.124, 13242]","[-0.156, 0.124, 13258]","[-0.156, 0.124, 13275]","[-0.156, 0.124, 13292]","[-0.152, 0.128, 13308]","[-0.152, 0.128, 13325]","[-0.13600000000000001, 0.13200000000000001, 13341]","[-0.11600000000000001, 0.14000000000000001, 13359]","[-0.091999999999999998, 0.15200000000000002, 13375]","[-0.068000000000000005, 0.16000000000000003, 13392]","[-0.048000000000000001, 0.16400000000000003, 13408]","[-0.028000000000000001, 0.16800000000000004, 13426]","[-0.012, 0.16800000000000004, 13441]","[0.012, 0.17200000000000004, 13459]","[0.043999999999999997, 0.18000000000000005, 13475]","[0.087999999999999995, 0.19199999999999995, 13492]","[0.108, 0.19599999999999995, 13509]","[0.124, 0.19599999999999995, 13525]","[0.13600000000000001, 0.19599999999999995, 13542]","[0.16400000000000001, 0.19599999999999995, 13558]","[0.184, 0.19599999999999995, 13576]","[0.20399999999999999, 0.19599999999999995, 13592]","[0.22, 0.19599999999999995, 13609]","[0.23200000000000001, 0.19599999999999995, 13626]","[0.24399999999999999, 0.19599999999999995, 13642]","[0.252, 0.19599999999999995, 13659]","[0.26000000000000001, 0.19599999999999995, 13675]","[0.26400000000000001, 0.19599999999999995, 13692]"
"[0.108, 0.16800000000000004, 14409]","[0.112, 0.16400000000000003, 14442]","[0.112, 0.16400000000000003, 14460]","[0.112, 0.16400000000000003, 14476]","[0.112, 0.16400000000000003, 14493]","[0.11600000000000001, 0.16400000000000003, 14509]","[0.12, 0.16400000000000003, 14526]","[0.124, 0.16400000000000003, 14542]","[0.128, 0.16400000000000003, 14560]","[0.13200000000000001, 0.16000000000000003, 14576]","[0.14000000000000001, 0.15600000000000003, 14593]","[0.156, 0.14400000000000002, 14610]","[0.16800000000000001, 0.128, 14627]","[0.17599999999999999, 0.11199999999999999, 14643]","[0.184, 0.091999999999999971, 14659]","[0.192, 0.071999999999999953, 14676]","[0.20000000000000001, 0.052000000000000046, 14692]","[0.20399999999999999, 0.044000000000000039, 14710]","[0.20799999999999999, 0.032000000000000028, 14726]","[0.20799999999999999, 0.020000000000000018, 14744]","[0.20799999999999999, -0.0080000000000000071, 14759]","[0.20399999999999999, -0.028000000000000025, 14777]","[0.20000000000000001, -0.052000000000000046, 14793]","[0.192, -0.06800000000000006, 14810]","[0.17999999999999999, -0.084000000000000075, 14826]","[0.17999999999999999, -0.088000000000000078, 14842]","[0.17999999999999999, -0.088000000000000078, 14860]","[0.17999999999999999, -0.088000000000000078, 14876]","[0.17999999999999999, -0.088000000000000078, 14893]","[0.17999999999999999, -0.084000000000000075, 14909]","[0.17999999999999999, -0.080000000000000071, 14926]"
"[0.048000000000000001, -0.17599999999999993, 15394]","[0.048000000000000001, -0.17599999999999993, 15427]","[0.043999999999999997, -0.16799999999999993, 15444]","[0.040000000000000001, -0.15999999999999992, 15461]","[0.040000000000000001, -0.15999999999999992, 15477]","[0.040000000000000001, -0.15599999999999992, 15493]","[0.059999999999999998, -0.14399999999999991, 15510]","[0.091999999999999998, -0.12000000000000011, 15528]","[0.104, -0.1120000000000001, 15544]","[0.12, -0.10400000000000009, 15560]","[0.13600000000000001, -0.096000000000000085, 15577]","[0.152, -0.088000000000000078, 15593]","[0.16400000000000001, -0.088000000000000078, 15611]","[0.17199999999999999, -0.092000000000000082, 15628]","[0.184, -0.1080000000000001, 15643]","[0.19600000000000001, -0.1160000000000001, 15660]","[0.20799999999999999, -0.12400000000000011, 15676]","[0.224, -0.1319999999999999, 15694]","[0.23999999999999999, -0.15199999999999991, 15710]","[0.248, -0.17199999999999993, 15727]","[0.25600000000000001, -0.19599999999999995, 15743]","[0.26000000000000001, -0.22399999999999998, 15761]","[0.26400000000000001, -0.252, 15777]","[0.26800000000000002, -0.28000000000000003, 15793]","[0.27600000000000002, -0.31600000000000006, 15810]","[0.28399999999999997, -0.33200000000000007, 15827]","[0.29599999999999999, -0.35200000000000009, 15844]","[0.308, -0.3680000000000001, 15860]","[0.312, -0.37200000000000011, 15877]","[0.316, -0.37999999999999989, 15893]","[0.316, -0.37999999999999989, 15911]"
