<<<<<<< HEAD
"[-0.216, 0.17200000000000004, 1667]","[-0.216, 0.17200000000000004, 1684]","[-0.216, 0.16800000000000004, 1701]","[-0.216, 0.16800000000000004, 1717]","[-0.216, 0.16800000000000004, 1734]","[-0.216, 0.16400000000000003, 1750]","[-0.216, 0.16400000000000003, 1767]","[-0.216, 0.16400000000000003, 1784]","[-0.216, 0.16400000000000003, 1801]","[-0.216, 0.16400000000000003, 1818]","[-0.216, 0.17600000000000005, 1834]","[-0.21199999999999999, 0.19199999999999995, 1850]","[-0.20799999999999999, 0.21599999999999997, 1867]","[-0.20399999999999999, 0.23599999999999999, 1884]","[-0.19600000000000001, 0.26400000000000001, 1901]","[-0.188, 0.27600000000000002, 1918]","[-0.17999999999999999, 0.28400000000000003, 1934]","[-0.16800000000000001, 0.28800000000000003, 1951]","[-0.156, 0.28800000000000003, 1968]","[-0.14799999999999999, 0.28000000000000003, 1984]","[-0.13600000000000001, 0.26800000000000002, 2001]","[-0.12, 0.248, 2018]","[-0.108, 0.23199999999999998, 2034]","[-0.091999999999999998, 0.21599999999999997, 2051]","[-0.075999999999999998, 0.20399999999999996, 2068]","[-0.059999999999999998, 0.19199999999999995, 2084]","[-0.040000000000000001, 0.18799999999999994, 2101]","[-0.0080000000000000002, 0.18799999999999994, 2118]","[0.016, 0.18799999999999994, 2134]","[0.040000000000000001, 0.19199999999999995, 2151]","[0.071999999999999995, 0.20399999999999996, 2167]","[0.087999999999999995, 0.21599999999999997, 2185]","[0.104, 0.22399999999999998, 2200]","[0.11600000000000001, 0.23599999999999999, 2218]","[0.128, 0.252, 2234]","[0.13200000000000001, 0.27200000000000002, 2251]","[0.13600000000000001, 0.28800000000000003, 2267]","[0.13600000000000001, 0.30400000000000005, 2284]","[0.14000000000000001, 0.31599999999999995, 2301]","[0.14000000000000001, 0.32799999999999996, 2318]","[0.14000000000000001, 0.33199999999999996, 2334]","[0.14000000000000001, 0.34399999999999997, 2350]","[0.13200000000000001, 0.35599999999999998, 2368]","[0.11600000000000001, 0.372, 2384]","[0.091999999999999998, 0.376, 2401]","[0.068000000000000005, 0.38400000000000001, 2418]","[0.028000000000000001, 0.38400000000000001, 2434]","[0.016, 0.38, 2451]","[0.0080000000000000002, 0.372, 2467]","[0.0080000000000000002, 0.36399999999999999, 2484]","[0.0080000000000000002, 0.34799999999999998, 2503]"
"[-0.12, 0.21999999999999997, 3135]","[-0.12, 0.22799999999999998, 3169]","[-0.11600000000000001, 0.22799999999999998, 3185]","[-0.11600000000000001, 0.22799999999999998, 3202]","[-0.11600000000000001, 0.22799999999999998, 3220]","[-0.11600000000000001, 0.22799999999999998, 3235]","[-0.11600000000000001, 0.22799999999999998, 3251]","[-0.11600000000000001, 0.22799999999999998, 3269]","[-0.11600000000000001, 0.22799999999999998, 3286]","[-0.11600000000000001, 0.22799999999999998, 3302]","[-0.11600000000000001, 0.21999999999999997, 3319]","[-0.11600000000000001, 0.21599999999999997, 3335]","[-0.11600000000000001, 0.20799999999999996, 3352]","[-0.12, 0.19999999999999996, 3369]","[-0.12, 0.19599999999999995, 3385]","[-0.12, 0.18799999999999994, 3402]","[-0.124, 0.18000000000000005, 3419]","[-0.124, 0.16800000000000004, 3435]","[-0.128, 0.15600000000000003, 3452]","[-0.128, 0.13200000000000001, 3469]","[-0.128, 0.11599999999999999, 3485]","[-0.128, 0.099999999999999978, 3502]","[-0.124, 0.063999999999999946, 3519]","[-0.11600000000000001, 0.044000000000000039, 3536]","[-0.104, 0.028000000000000025, 3552]","[-0.091999999999999998, 0.012000000000000011, 3569]","[-0.068000000000000005, -0.012000000000000011, 3585]","[-0.048000000000000001, -0.020000000000000018, 3602]","[-0.028000000000000001, -0.024000000000000021, 3619]","[-0.012, -0.024000000000000021, 3636]","[0.0080000000000000002, -0.0080000000000000071, 3652]","[0.016, 0.016000000000000014, 3668]","[0.024, 0.044000000000000039, 3685]","[0.028000000000000001, 0.060000000000000053, 3702]","[0.028000000000000001, 0.071999999999999953, 3719]","[0.028000000000000001, 0.07999999999999996, 3735]","[0.024, 0.083999999999999964, 3752]","[0.024, 0.083999999999999964, 3768]","[0.024, 0.083999999999999964, 3786]","[0.024, 0.083999999999999964, 3803]","[0.024, 0.083999999999999964, 3818]","[0.024, 0.07999999999999996, 3836]","[0.028000000000000001, 0.071999999999999953, 3853]","[0.040000000000000001, 0.05600000000000005, 3869]","[0.048000000000000001, 0.040000000000000036, 3885]","[0.056000000000000001, 0.032000000000000028, 3902]","[0.068000000000000005, 0.028000000000000025, 3919]","[0.091999999999999998, 0.028000000000000025, 3936]","[0.108, 0.032000000000000028, 3956]","[0.13200000000000001, 0.044000000000000039, 3982]","[0.14799999999999999, 0.060000000000000053, 4003]","[0.152, 0.083999999999999964, 4022]","[0.156, 0.11199999999999999, 4049]","[0.156, 0.128, 4070]","[0.14399999999999999, 0.14000000000000001, 4088]","[0.13600000000000001, 0.15200000000000002, 4116]","[0.124, 0.16000000000000003, 4136]","[0.124, 0.16000000000000003, 4155]","[0.124, 0.16000000000000003, 4181]","[0.124, 0.16000000000000003, 4209]"
=======
"[-0.23200000000000001, 0.095999999999999974, 5116]","[-0.23200000000000001, 0.095999999999999974, 5133]","[-0.23999999999999999, 0.095999999999999974, 5149]","[-0.248, 0.095999999999999974, 5166]","[-0.252, 0.095999999999999974, 5183]","[-0.25600000000000001, 0.099999999999999978, 5200]","[-0.27200000000000002, 0.10799999999999998, 5216]","[-0.28000000000000003, 0.11199999999999999, 5233]","[-0.28399999999999997, 0.124, 5249]","[-0.28799999999999998, 0.13200000000000001, 5266]","[-0.29199999999999998, 0.14400000000000002, 5282]","[-0.29999999999999999, 0.16000000000000003, 5299]","[-0.30399999999999999, 0.17200000000000004, 5316]","[-0.30399999999999999, 0.18000000000000005, 5333]","[-0.30399999999999999, 0.18799999999999994, 5350]","[-0.30399999999999999, 0.19999999999999996, 5365]","[-0.30399999999999999, 0.20799999999999996, 5382]","[-0.29999999999999999, 0.22399999999999998, 5399]","[-0.29199999999999998, 0.23599999999999999, 5416]","[-0.27200000000000002, 0.25600000000000001, 5433]","[-0.26000000000000001, 0.26400000000000001, 5450]","[-0.252, 0.26800000000000002, 5465]","[-0.248, 0.27200000000000002, 5482]","[-0.23599999999999999, 0.27600000000000002, 5499]","[-0.21199999999999999, 0.28400000000000003, 5516]","[-0.19600000000000001, 0.28400000000000003, 5532]","[-0.184, 0.28800000000000003, 5550]","[-0.17599999999999999, 0.28800000000000003, 5582]","[-0.156, 0.28800000000000003, 5617]","[-0.12, 0.28000000000000003, 5649]","[-0.104, 0.26400000000000001, 5683]","[-0.084000000000000005, 0.23599999999999999, 5716]","[-0.075999999999999998, 0.20399999999999996, 5750]","[-0.075999999999999998, 0.128, 5783]","[-0.096000000000000002, 0.067999999999999949, 5816]","[-0.108, 0.044000000000000039, 5833]","[-0.112, 0.028000000000000025, 5866]","[-0.13200000000000001, 0.0, 5899]","[-0.17199999999999999, -0.044000000000000039, 5934]","[-0.188, -0.064000000000000057, 5967]","[-0.21199999999999999, -0.096000000000000085, 5999]","[-0.23200000000000001, -0.12799999999999989, 6032]","[-0.252, -0.15599999999999992, 6066]","[-0.26400000000000001, -0.17599999999999993, 6099]","[-0.27200000000000002, -0.21199999999999997, 6133]","[-0.27600000000000002, -0.22799999999999998, 6166]","[-0.26400000000000001, -0.252, 6200]","[-0.252, -0.28000000000000003, 6233]","[-0.23999999999999999, -0.29600000000000004, 6267]","[-0.224, -0.31600000000000006, 6299]","[-0.20399999999999999, -0.32800000000000007, 6334]","[-0.17999999999999999, -0.34000000000000008, 6366]","[-0.16400000000000001, -0.34800000000000009, 6399]","[-0.14799999999999999, -0.35200000000000009, 6432]","[-0.128, -0.35200000000000009, 6466]","[-0.096000000000000002, -0.34000000000000008, 6499]","[-0.084000000000000005, -0.33200000000000007, 6533]","[-0.080000000000000002, -0.32800000000000007, 6567]","[-0.071999999999999995, -0.32400000000000007, 6600]","[-0.064000000000000001, -0.32000000000000006, 6634]","[-0.051999999999999998, -0.31200000000000006, 6666]","[-0.040000000000000001, -0.29200000000000004, 6699]","[-0.016, -0.27600000000000002, 6733]","[-0.0080000000000000002, -0.26400000000000001, 6767]","[0.0, -0.24399999999999999, 6800]","[0.012, -0.21599999999999997, 6833]","[0.016, -0.18399999999999994, 6866]","[0.016, -0.17999999999999994, 6900]","[0.016, -0.17999999999999994, 6934]","[0.016, -0.17999999999999994, 6966]","[0.016, -0.17999999999999994, 6999]","[0.016, -0.17599999999999993, 7033]","[0.016, -0.17599999999999993, 7066]","[0.016, -0.17599999999999993, 7099]","[0.016, -0.17599999999999993, 7133]","[0.016, -0.19199999999999995, 7166]","[0.016, -0.22399999999999998, 7200]","[0.012, -0.25600000000000001, 7233]","[0.012, -0.27600000000000002, 7267]","[0.02, -0.28800000000000003, 7300]","[0.048000000000000001, -0.31200000000000006, 7349]","[0.071999999999999995, -0.32400000000000007, 7383]","[0.096000000000000002, -0.32800000000000007, 7417]","[0.128, -0.32800000000000007, 7450]","[0.14799999999999999, -0.32800000000000007, 7483]","[0.16800000000000001, -0.32000000000000006, 7516]","[0.19600000000000001, -0.30800000000000005, 7550]","[0.22, -0.28800000000000003, 7583]","[0.22800000000000001, -0.28000000000000003, 7617]","[0.24399999999999999, -0.25600000000000001, 7650]","[0.252, -0.23999999999999999, 7683]","[0.26000000000000001, -0.20799999999999996, 7717]","[0.26800000000000002, -0.17599999999999993, 7750]","[0.27200000000000002, -0.15999999999999992, 7783]","[0.26000000000000001, -0.1359999999999999, 7816]","[0.23599999999999999, -0.1080000000000001, 7850]","[0.224, -0.088000000000000078, 7883]","[0.216, -0.084000000000000075, 7916]","[0.21199999999999999, -0.076000000000000068, 7950]","[0.21199999999999999, -0.076000000000000068, 7983]","[0.21199999999999999, -0.076000000000000068, 8016]","[0.21199999999999999, -0.076000000000000068, 8050]","[0.21199999999999999, -0.076000000000000068, 8083]","[0.21199999999999999, -0.076000000000000068, 8116]","[0.21199999999999999, -0.076000000000000068, 8150]","[0.21199999999999999, -0.076000000000000068, 8183]"
"[-0.084000000000000005, 0.14400000000000002, 9184]","[-0.084000000000000005, 0.13200000000000001, 9233]","[-0.084000000000000005, 0.13200000000000001, 9250]","[-0.084000000000000005, 0.13200000000000001, 9267]","[-0.084000000000000005, 0.13200000000000001, 9284]","[-0.084000000000000005, 0.124, 9300]","[-0.084000000000000005, 0.11599999999999999, 9317]","[-0.084000000000000005, 0.11199999999999999, 9333]","[-0.084000000000000005, 0.10799999999999998, 9350]","[-0.084000000000000005, 0.10399999999999998, 9367]","[-0.084000000000000005, 0.099999999999999978, 9384]","[-0.084000000000000005, 0.095999999999999974, 9400]","[-0.084000000000000005, 0.083999999999999964, 9417]","[-0.084000000000000005, 0.07999999999999996, 9434]","[-0.084000000000000005, 0.075999999999999956, 9450]","[-0.080000000000000002, 0.071999999999999953, 9466]","[-0.075999999999999998, 0.063999999999999946, 9483]","[-0.068000000000000005, 0.05600000000000005, 9500]","[-0.064000000000000001, 0.048000000000000043, 9516]","[-0.059999999999999998, 0.040000000000000036, 9533]","[-0.051999999999999998, 0.036000000000000032, 9550]","[-0.043999999999999997, 0.032000000000000028, 9566]","[-0.035999999999999997, 0.028000000000000025, 9583]","[-0.032000000000000001, 0.024000000000000021, 9600]","[-0.024, 0.020000000000000018, 9616]","[-0.012, 0.016000000000000014, 9634]","[-0.0040000000000000001, 0.012000000000000011, 9650]","[0.0040000000000000001, 0.012000000000000011, 9666]","[0.02, 0.0080000000000000071, 9683]","[0.028000000000000001, 0.0080000000000000071, 9700]","[0.035999999999999997, 0.0040000000000000036, 9717]","[0.040000000000000001, 0.0040000000000000036, 9733]","[0.048000000000000001, 0.0040000000000000036, 9750]","[0.064000000000000001, 0.0040000000000000036, 9784]","[0.084000000000000005, 0.0040000000000000036, 9816]","[0.10000000000000001, 0.0040000000000000036, 9850]","[0.128, 0.012000000000000011, 9884]","[0.14000000000000001, 0.016000000000000014, 9917]","[0.16400000000000001, 0.028000000000000025, 9950]","[0.188, 0.044000000000000039, 9983]","[0.192, 0.052000000000000046, 10017]","[0.20399999999999999, 0.071999999999999953, 10050]","[0.20799999999999999, 0.091999999999999971, 10084]","[0.20799999999999999, 0.11199999999999999, 10117]","[0.20799999999999999, 0.128, 10151]","[0.20799999999999999, 0.14800000000000002, 10184]","[0.20799999999999999, 0.16800000000000004, 10217]","[0.20000000000000001, 0.18799999999999994, 10251]","[0.188, 0.19599999999999995, 10283]","[0.17199999999999999, 0.19999999999999996, 10317]","[0.14000000000000001, 0.20399999999999996, 10350]","[0.11600000000000001, 0.20399999999999996, 10384]","[0.104, 0.20399999999999996, 10417]","[0.096000000000000002, 0.19999999999999996, 10451]","[0.091999999999999998, 0.19999999999999996, 10483]","[0.080000000000000002, 0.18799999999999994, 10517]","[0.068000000000000005, 0.18000000000000005, 10550]","[0.068000000000000005, 0.18000000000000005, 10583]","[0.068000000000000005, 0.17200000000000004, 10617]"
>>>>>>> FETCH_HEAD
