<<<<<<< HEAD
"[-0.112, 0.23599999999999999, 1017]","[-0.11600000000000001, 0.248, 1034]","[-0.12, 0.25600000000000001, 1051]","[-0.12, 0.25600000000000001, 1067]","[-0.12, 0.25600000000000001, 1084]","[-0.12, 0.25600000000000001, 1100]","[-0.124, 0.25600000000000001, 1117]","[-0.124, 0.248, 1133]","[-0.12, 0.20799999999999996, 1150]","[-0.11600000000000001, 0.16000000000000003, 1167]","[-0.112, 0.091999999999999971, 1183]","[-0.112, 0.016000000000000014, 1200]","[-0.108, -0.05600000000000005, 1216]","[-0.108, -0.12400000000000011, 1234]","[-0.108, -0.1359999999999999, 1251]","[-0.112, -0.1359999999999999, 1269]"
"[-0.112, 0.036000000000000032, 1484]","[-0.112, 0.036000000000000032, 1517]","[-0.108, 0.044000000000000039, 1534]","[-0.084000000000000005, 0.071999999999999953, 1551]","[-0.064000000000000001, 0.099999999999999978, 1567]","[-0.040000000000000001, 0.128, 1584]","[-0.0080000000000000002, 0.16000000000000003, 1601]","[0.012, 0.16400000000000003, 1617]"
"[-0.104, -0.0040000000000000036, 1784]","[-0.11600000000000001, 0.0, 1814]","[-0.11600000000000001, -0.0040000000000000036, 1827]","[-0.10000000000000001, -0.020000000000000018, 1841]","[-0.080000000000000002, -0.044000000000000039, 1851]","[-0.064000000000000001, -0.060000000000000053, 1867]","[-0.032000000000000001, -0.092000000000000082, 1884]","[0.02, -0.12400000000000011, 1901]","[0.043999999999999997, -0.1399999999999999, 1918]","[0.056000000000000001, -0.14799999999999991, 1934]"
=======
"[-0.14399999999999999, 0.30400000000000005, 13997]","[-0.14399999999999999, 0.32399999999999995, 14015]","[-0.14399999999999999, 0.33199999999999996, 14031]","[-0.14799999999999999, 0.33599999999999997, 14047]","[-0.14799999999999999, 0.33999999999999997, 14064]","[-0.14799999999999999, 0.33999999999999997, 14081]","[-0.14799999999999999, 0.34399999999999997, 14097]","[-0.14799999999999999, 0.34399999999999997, 14114]","[-0.14799999999999999, 0.33999999999999997, 14131]","[-0.14799999999999999, 0.29600000000000004, 14147]","[-0.14799999999999999, 0.23999999999999999, 14165]","[-0.14799999999999999, 0.17600000000000005, 14181]","[-0.14799999999999999, 0.099999999999999978, 14198]","[-0.14799999999999999, -0.020000000000000018, 14214]","[-0.14799999999999999, -0.084000000000000075, 14231]","[-0.14799999999999999, -0.15599999999999992, 14248]","[-0.14799999999999999, -0.18799999999999994, 14264]","[-0.14799999999999999, -0.19999999999999996, 14280]","[-0.14799999999999999, -0.20399999999999996, 14297]","[-0.14799999999999999, -0.20399999999999996, 14315]","[-0.14799999999999999, -0.20399999999999996, 14331]","[-0.14799999999999999, -0.20799999999999996, 14365]","[-0.14799999999999999, -0.20799999999999996, 14382]","[-0.14799999999999999, -0.20399999999999996, 14397]"
"[0.112, 0.33599999999999997, 15147]","[0.104, 0.33999999999999997, 15182]","[0.108, 0.34399999999999997, 15197]","[0.108, 0.34399999999999997, 15214]","[0.10000000000000001, 0.32799999999999996, 15231]","[0.075999999999999998, 0.29200000000000004, 15247]","[0.043999999999999997, 0.25600000000000001, 15264]","[0.0040000000000000001, 0.21599999999999997, 15281]","[-0.035999999999999997, 0.17600000000000005, 15298]","[-0.075999999999999998, 0.13600000000000001, 15314]","[-0.112, 0.095999999999999974, 15331]","[-0.14799999999999999, 0.05600000000000005, 15347]","[-0.152, 0.052000000000000046, 15364]","[-0.156, 0.052000000000000046, 15380]","[-0.156, 0.052000000000000046, 15398]","[-0.156, 0.048000000000000043, 15415]","[-0.156, 0.048000000000000043, 15431]","[-0.156, 0.048000000000000043, 15448]","[-0.156, 0.048000000000000043, 15466]","[-0.156, 0.048000000000000043, 15480]","[-0.156, 0.048000000000000043, 15497]","[-0.156, 0.048000000000000043, 15514]","[-0.156, 0.048000000000000043, 15531]","[-0.156, 0.048000000000000043, 15547]","[-0.156, 0.048000000000000043, 15564]","[-0.14799999999999999, 0.052000000000000046, 15582]","[-0.14000000000000001, 0.05600000000000005, 15598]","[-0.13200000000000001, 0.052000000000000046, 15631]","[-0.080000000000000002, 0.0040000000000000036, 15664]","[-0.012, -0.040000000000000036, 15698]","[0.040000000000000001, -0.12000000000000011, 15715]","[0.059999999999999998, -0.15199999999999991, 15731]","[0.087999999999999995, -0.17199999999999993, 15765]","[0.112, -0.18399999999999994, 15798]","[0.12, -0.18799999999999994, 15832]","[0.12, -0.18799999999999994, 15865]","[0.12, -0.18799999999999994, 15898]","[0.12, -0.19199999999999995, 15932]"
>>>>>>> FETCH_HEAD
